sigungu,2016,2017,2018,2019,2020,인구감소지수 분류,sido,pop,hp_bin,sig_cd
대구광역시 서구,15.990213945128193,17.299338022341747,18.732164422174346,20.160377517865086,21.743772762509327,인구감소지역,대구광역시,170922.5,20.3~25,27170
부산광역시 동구,22.007602769339616,23.01735617009847,24.001301198380474,24.752498338328067,25.557309247589316,인구감소지역,부산광역시,86801.0,25.4~30,26170
부산광역시 서구,20.53881820575412,21.515455557540854,22.340863944286752,23.23835491084976,24.459168648771097,인구감소지역,부산광역시,105948.0,20.3~25,26140
부산광역시 영도구,20.832057882287465,22.061606456102652,23.399680165679186,24.84606559560691,26.616538027732933,인구감소지역,부산광역시,113042.5,25.4~30,26200
인천광역시 강화군,28.72604183678014,29.333922456644206,30.272295522235147,31.23362453382378,32.37161748856718,인구감소지역,인천광역시,68662.0,30.5~35,28710
인천광역시 옹진군,21.444888635065677,21.98260706500082,23.106552921993526,24.381146151237708,25.978935997839592,인구감소지역,인천광역시,20366.5,25.4~30,28720
전라남도 강진군,30.51709373559054,31.451384104081388,32.382425229902516,33.25099162937764,34.2853019698391,인구감소지역,전라남도,34647.5,30.5~35,46810
전라남도 고흥군,37.14906318340327,37.95156808257245,38.640040713705176,39.40306322817123,40.534503764331006,인구감소지역,전라남도,64022.0,35.7~41,46770
전라남도 곡성군,32.47102273664078,33.04723885562209,33.66016375214798,34.45700617761946,35.69179608731029,인구감소지역,전라남도,28267.0,30.5~35,46720
전라남도 구례군,29.99300519088466,30.465299540015028,31.089342270015468,32.0644738075157,33.63478930152011,인구감소지역,전라남도,25985.0,30.5~35,46730
전라남도 담양군,28.142821986111556,28.492800000000003,29.104996735908223,29.701795270153635,30.562525117577415,인구감소지역,전라남도,46033.5,25.4~30,46710
전라남도 보성군,33.95313783057177,34.8428623785963,35.61890087313816,36.59478519513541,37.91976519047443,인구감소지역,전라남도,40543.5,35.7~41,46780
전라남도 신안군,32.21032819668274,32.996946273499375,33.71121646034652,34.501474633819925,35.92046019821176,인구감소지역,전라남도,39200.5,35.7~41,46910
전라남도 영광군,26.395068636564652,27.011105215975412,27.62124625668697,28.021130381936327,28.686048706815175,인구감소지역,전라남도,52970.0,25.4~30,46870
전라남도 영암군,23.44927942774992,24.24894049763012,24.988798566216474,25.48596112311015,26.241822146837894,인구감소지역,전라남도,53651.0,25.4~30,46830
전라남도 완도군,29.398994515539307,30.018624834392583,30.46513208353155,31.05081274798413,32.04351390805287,인구감소지역,전라남도,50007.0,30.5~35,46890
전라남도 장성군,27.030448543053588,27.487664248750015,27.998200037316302,28.38883134627675,29.314875487817147,인구감소지역,전라남도,44714.5,25.4~30,46880
전라남도 장흥군,30.045352830662818,31.344772545889864,31.883984419604904,32.581810647362765,33.633133906520335,인구감소지역,전라남도,37858.5,30.5~35,46800
전라남도 진도군,31.399530883502734,31.853959222380272,32.27758918849676,32.63332682164485,32.97039532574907,인구감소지역,전라남도,30721.5,30.5~35,46900
전라남도 함평군,32.67384516618518,33.19117647058823,33.83958942531479,34.77372218239502,35.967973082435044,인구감소지역,전라남도,32098.0,35.7~41,46860
전라남도 해남군,28.379611437096635,29.199780483343158,30.02597402597403,30.784606987673396,31.80457829404561,인구감소지역,전라남도,68999.5,30.5~35,46820
전라남도 화순군,23.587355738939344,24.115750643231344,24.748404276148335,25.486734109562892,26.39852689304697,인구감소지역,전라남도,62181.5,25.4~30,46790
전라북도 고창군,29.503102996082625,29.8084444222544,30.905364966945903,32.46995181542981,33.84849345438222,인구감소지역,전라북도,54578.5,30.5~35,45790
전라북도 김제시,27.99144076621162,28.64259748365881,29.291993904583286,30.105294556301267,31.256598507372125,인구감소지역,전라북도,82405.0,30.5~35,45210
전라북도 남원시,24.391375740701076,25.039623457086595,25.726407661070365,26.54434475658185,27.61690441208379,인구감소지역,전라북도,80653.5,25.4~30,45190
전라북도 무주군,29.85086577920128,30.620194151244224,31.21391983088056,31.91965661005114,33.030724806282066,인구감소지역,전라북도,24068.5,30.5~35,45730
전라북도 부안군,28.790443359357692,29.38112143863843,30.209511990363907,31.27141974268217,32.65009282119002,인구감소지역,전라북도,52251.0,30.5~35,45800
전라북도 순창군,30.563818054209417,31.006340213139076,31.533484695880777,32.29772445468993,33.40136054421769,인구감소지역,전라북도,27930.0,30.5~35,45770
전라북도 임실군,31.591559608600146,31.867728924297477,32.290709907984166,33.25655593659893,35.211973646519624,인구감소지역,전라북도,27928.0,30.5~35,45750
전라북도 장수군,29.463176384902102,30.23511410900157,30.988977542013608,31.78187099755727,33.37771058510278,인구감소지역,전라북도,22158.5,30.5~35,45740
전라북도 정읍시,24.236862230962526,24.74238627942266,25.322440807643837,26.088809495742694,27.179785017607905,인구감소지역,전라북도,108474.0,25.4~30,45180
전라북도 진안군,31.12241947608859,31.461236430826084,32.10614622104796,33.05707767009224,34.32503302379685,인구감소지역,전라북도,25360.5,30.5~35,45720
충청남도 공주시,21.66552714344318,22.50193862855877,23.359550666629346,24.239713353453837,25.593014702370148,인구감소지역,충청남도,104677.0,25.4~30,44150
충청남도 금산군,26.44148377466969,27.273149826626135,28.15572381060007,29.181453811496187,30.545228038074473,인구감소지역,충청남도,51373.0,25.4~30,44710
충청남도 논산시,22.46577355440719,23.06103641779255,23.797725578703222,24.747423551275553,25.932579067185134,인구감소지역,충청남도,116625.5,25.4~30,44230
충청남도 보령시,21.744823753956176,22.464360831970087,23.232268623413134,24.14010556578993,25.382439097669064,인구감소지역,충청남도,99852.5,20.3~25,44180
충청남도 부여군,29.23583766284812,30.1621942996353,31.167665111349883,32.325107810253954,33.87232351637603,인구감소지역,충청남도,65431.0,30.5~35,44760
충청남도 서천군,31.070339672576736,31.985544487928014,33.035623386119006,34.22623834981312,35.79664418521627,인구감소지역,충청남도,51820.5,35.7~41,44770
충청남도 예산군,26.4818799823935,27.611093798691183,28.483858811707073,29.370921232356963,30.733366209180048,인구감소지역,충청남도,78071.5,30.5~35,44810
충청남도 청양군,31.486538609889685,31.74486240925764,32.247994931309975,33.27830448249296,34.852572750048175,인구감소지역,충청남도,31134.0,30.5~35,44790
충청남도 태안군,26.12083613229541,26.92156276081445,27.930095611979993,29.04888633148721,30.40104431068243,인구감소지역,충청남도,62050.5,25.4~30,44825
충청북도 괴산군,29.65451927193472,30.123565298314546,30.723194593130486,31.484582292176512,32.70888934510368,인구감소지역,충청북도,38968.0,30.5~35,43760
충청북도 단양군,25.69989264183665,26.497834055314897,27.400421390588942,28.40344345423609,30.027793981402052,인구감소지역,충청북도,29143.0,25.4~30,43800
충청북도 보은군,29.660629816831463,30.249641574412106,31.158772713732496,32.347151984980165,33.84306766453206,인구감소지역,충청북도,32402.5,30.5~35,43720
충청북도 영동군,27.004001035093655,27.61192537641719,28.469176873834368,29.395508792041102,30.806615482911397,인구감소지역,충청북도,47736.5,30.5~35,43740
충청북도 옥천군,25.04746393223018,25.946459379300986,26.986544808326983,28.000747420906148,29.19553006093567,인구감소지역,충청북도,50381.0,25.4~30,43730
충청북도 제천시,17.466922906349325,18.212284729347676,19.194658722924956,20.09459086467091,21.257125656124774,인구감소지역,충청북도,132882.5,20.3~25,43150
