행정구역(시군구)별,senior_2016,senior_2017,senior_2018,senior_2019,senior_2020
충청남도 홍성군,20779,21407,21928,22483,23305
충청남도 예산군,21659,22151,22676,23223,23994
충청남도 태안군,16526,17096,17644,18174,18864
전라북도 완산구,44330,46050,47684,49421,52053
전라북도 덕진구,35335,36701,38558,40796,43137
전라북도 군산시,41574,43181,44709,46411,48768
전라북도 익산시,47366,49025,50514,52080,54378
전라북도 정읍시,27730,28045,28331,28771,29483
전라북도 남원시,20499,20854,21223,21657,22274
전라북도 김제시,24462,24780,24989,25232,25757
전라북도 완주군,18454,18980,19465,19989,20797
전라북도 진안군,8073,8173,8324,8476,8705
전라북도 무주군,7456,7586,7678,7771,7950
전라북도 장수군,6877,7015,7127,7221,7396
전라북도 임실군,9492,9560,9668,9746,9834
전라북도 순창군,9145,9194,9236,9247,9329
전라북도 고창군,17661,17911,18022,18127,18474
전라북도 부안군,16244,16469,16553,16698,17060
전라남도 목포시,31473,32780,33962,35070,36557
전라남도 여수시,45408,47202,48700,50394,52857
전라남도 순천시,37171,38510,39791,41162,43094
전라남도 나주시,23025,23625,24205,24739,25388
전라남도 광양시,16616,17286,17931,18717,19641
전라남도 담양군,13151,13356,13598,13765,14069
전라남도 곡성군,9847,9934,9990,10012,10089
전라남도 구례군,8147,8312,8442,8554,8740
전라남도 고흥군,25141,25334,25435,25585,25951
전라남도 보성군,15092,15211,15257,15256,15374
전라남도 화순군,15349,15559,15800,16023,16415
전라남도 장흥군,12554,12568,12565,12580,12733
전라남도 강진군,11582,11640,11726,11778,11879
전라남도 해남군,21305,21549,21675,21715,21945
전라남도 영암군,13375,13532,13664,13806,14079
전라남도 무안군,15925,16219,16428,16621,17081
전라남도 함평군,11197,11285,11341,11399,11545
전라남도 영광군,14623,14764,14896,14985,15195
전라남도 장성군,12384,12562,12755,12882,13108
전라남도 완도군,15438,15634,15690,15769,16024
전라남도 진도군,10040,10077,10079,10023,10129
전라남도 신안군,13691,13831,13902,13921,14081
경상북도 남구,30538,32410,34530,36584,38987
경상북도 북구,35672,37656,39887,42321,45352
경상북도 경주시,47674,49379,51230,53147,55535
경상북도 김천시,27980,28824,29739,30590,31687
경상북도 안동시,34114,35100,36176,37142,38299
경상북도 구미시,30700,32377,34318,36268,38533
경상북도 영주시,24191,24923,25804,26653,27544
경상북도 영천시,24526,25291,26175,27032,28033
경상북도 상주시,27476,27955,28614,29249,29926
경상북도 문경시,18941,19425,19937,20436,21065
경상북도 경산시,35456,37127,38971,40813,43050
경상북도 군위군,8554,8746,8899,9036,9273
경상북도 의성군,19630,19942,20278,20634,21081
경상북도 청송군,8447,8618,8798,8976,9188
경상북도 영양군,5785,5851,5954,6029,6125
경상북도 영덕군,12739,12933,13123,13273,13498
경상북도 청도군,14019,14455,14904,15279,15700
경상북도 고령군,8761,9026,9270,9467,9744
경상북도 성주군,12124,12534,12903,13216,13625
경상북도 칠곡군,15125,15602,16206,16859,17668
경상북도 예천군,14833,15166,15584,16043,16519
경상북도 봉화군,10525,10722,10891,11029,11290
경상북도 울진군,12592,12687,12890,13141,13423
경상북도 울릉군,2065,2131,2199,2246,2291
경상남도 진주시,48264,50084,52052,54247,57117
경상남도 통영시,20349,21302,22276,23186,24326
경상남도 사천시,21016,21632,22214,22866,23840
경상남도 김해시,46403,49039,51911,55045,59060
경상남도 밀양시,24955,25912,26885,27785,28926
경상남도 거제시,20333,21418,22682,24003,25700
경상남도 양산시,33550,36806,40059,42899,46295
경상남도 의창구,24159,25608,27341,29285,31715
경상남도 성산구,12986,13957,15025,16148,17468
경상남도 마산합포구,29524,31000,32617,34174,36205
경상남도 마산회원구,25819,27225,28587,30097,32212
경상남도 진해구,20973,22142,23512,24950,26641
경상남도 의령군,9428,9515,9581,9611,9777
경상남도 함안군,13763,14103,14530,14981,15607
경상남도 창녕군,16876,17311,17750,18096,18628
경상남도 고성군,14252,14557,14901,15265,15730
경상남도 남해군,15575,15700,15809,15880,16049
경상남도 하동군,14409,14563,14729,14923,15238
경상남도 산청군,11505,11693,11921,12181,12547
경상남도 함양군,12147,12341,12509,12642,12939
경상남도 거창군,15386,15696,16009,16317,16720
경상남도 합천군,16795,16934,16989,17018,17182
