sigungu,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
전남 구례군,"27,217","27,065","26,908","26,953.5","27,046.5","27,163","27,283.5","27,154","26,677.5","25,985","25,369"
전남 고흥군,"72,791","71,615","70,633.5","69,682.5","68,670.5","67,676","66,753.5","65,825.5","64,931.5","64,022","63,030"
전남 보성군,"47,830.5","46,971","46,233","45,663","45,153","44,449.5","43,656","42,834","41,689","40,543.5","39,667.5"
전남 화순군,"68,674","68,181.5","67,607.5","66,822.5","65,824","65,073","64,518","63,842.5","62,868","62,181.5","62,230.5"
전남 장흥군,"42,137","42,283.5","42,523.5","42,796.5","43,050","41,783.5","40,096","39,408.5","38,610.5","37,858.5","36,939.5"
전남 강진군,"41,288.5","40,597","39,839.5","39,658.5","39,005","37,952.5","37,009.5","36,211","35,421.5","34,647.5","33,967"
전남 해남군,"78,356.5","77,614.5","77,249","76,694","75,989.5","75,071.5","73,798.5","72,187.5","70,538.5","68,999.5","67,596.5"
전남 영암군,"59,530","59,500.5","58,982.5","58,416.5","57,945.5","57,038","55,804.5","54,680.5","54,171","53,651","52,934"
전남 함평군,"36,051","35,570.5","35,303.5","34,971.5","34,614.5","34,269","34,000","33,514","32,780.5","32,098","31,422"
전남 영광군,"56,495","56,466","56,863.5","56,682","56,014","55,400.5","54,659","53,929.5","53,477.5","52,970","52,184.5"
전남 장성군,"45,880.5","45,788.5","45,847.5","45,864.5","45,903","45,815","45,700.5","45,556.5","45,377","44,714.5","43,636.5"
전남 완도군,"53,794","53,606.5","53,404.5","53,053.5","52,756","52,512","52,081","51,501.5","50,784.5","50,007","49,051"
전남 진도군,"33,337","33,069","32,811.5","32,579.5","32,312","31,975","31,635","31,226","30,714","30,721.5","30,477"
전남 신안군,"44,374","43,615.5","43,531.5","43,457.5","43,033","42,505","41,916","41,238.5","40,349","39,200.5","38,280.5"
경북 안동시,"167,083.5","167,307.5","167,464","167,690","168,085","168,130","166,672","163,364","160,242","158,634","157,300.5"
경북 영주시,"113,237.5","113,070.5","112,321","110,959","109,530.5","108,766.5","108,119.5","106,922","105,273","103,452","102,053.5"
경북 영천시,"102,671","102,036.5","100,387.5","99,873","99,838.5","99,759","99,752.5","100,320.5","101,270.5","101,506","101,439.5"
경북 상주시,"104,312","103,606.5","102,968.5","102,337","101,858.5","101,307.5","100,604.5","99,877.5","99,760","98,240.5","95,902.5"
경북 문경시,"76,474","75,739.5","75,225.5","75,243","75,288","74,671","73,433.5","72,020","71,490.5","71,266.5","70,757"
경북 군위군,"24,311","24,014","23,969.5","23,991","23,966","23,973","24,025","23,903","23,715.5","23,384.5","22,981"
경북 의성군,"57,618.5","56,748","55,934.5","55,028.5","54,240","53,670","53,191.5","52,673.5","52,248","51,647","50,814.5"
경북 청송군,"26,432.5","26,323","26,277","26,265","26,225.5","26,152.5","25,972","25,666.5","25,366","25,051.5","24,679.5"
경북 영양군,"18,146","18,026.5","18,059.5","18,055","17,853","17,613","17,410.5","17,236.5","16,994","16,667","16,403.5"
경북 영덕군,"40,675","40,141","39,829.5","39,504","39,022","38,744.5","38,427.5","37,967","37,377.5","36,484","35,538"
경북 청도군,"44,052","43,862.5","43,602.5","43,593","43,548","43,325","43,130","42,883","42,673","42,278.5","41,837.5"
경북 고령군,"34,828","35,171","35,050.5","34,901","34,591.5","34,194.5","33,773.5","33,129","32,440.5","31,646.5","30,839"
경북 성주군,"45,055.5","44,995.5","44,708.5","44,652","44,648","44,765","44,838.5","44,577","44,019.5","43,399.5","42,900"
경북 봉화군,"33,996.5","33,692","33,545","33,595.5","33,550","33,304","33,043","32,704","32,155.5","31,492","30,870.5"
경북 울진군,"51,879","51,608","51,580.5","51,718","51,671","51,480","51,038.5","50,195.5","49,363.5","48,710","48,077.5"
경북 울릉군,"10,549.5","10,524","10,376","10,161.5","10,005.5","9,878","9,793","9,724.5","9,555.5","9,184.5","8,847"
경남 밀양시,"108,834.5","108,008","107,530.5","107,071","106,871","107,173","107,186.5","106,389","105,227.5","104,300.5","103,474.5"
경남 의령군,"29,925.5","30,015","29,695","29,140","28,711.5","28,159.5","27,819","27,602","27,259.5","26,832","26,455.5"
경남 함안군,"66,506","66,662","67,030","67,694.5","68,455.5","68,548","68,079","67,145","65,907.5","64,502","63,026"
경남 창녕군,"61,564.5","62,214.5","62,702","62,976.5","63,167","63,408","63,560.5","63,262","62,369.5","61,341.5","60,342.5"
경남 고성군,"56,760","56,619","56,195","55,720","55,183.5","54,578.5","53,978","53,252.5","52,357.5","51,428","50,644.5"
경남 남해군,"49,474","48,941.5","47,438","46,651","45,966","45,205","44,594","44,024.5","43,515.5","43,004.5","42,400.5"
경남 하동군,"52,454.5","52,102","50,188","49,397.5","49,443.5","49,639.5","48,933","47,890","46,756","45,389.5","43,882.5"
경남 산청군,"35,286","35,348","35,492","35,572","35,647.5","35,772","35,918.5","35,853","35,389.5","34,845","34,377.5"
경남 함안군,"40,794","40,571","40,386","40,312","40,128.5","39,952","39,870","39,778","39,519","39,045","38,444"
경남 거창군,"62,871.5","62,737.5","62,766","62,794.5","62,826","62,894.5","62,656.5","62,244.5","61,957.5","61,478","61,002"
경남 합천군,"50,328.5","49,939.5","49,787.5","49,887","49,322","48,109","47,048.5","46,005.5","45,111.5","44,159.5","43,105"
