행정구역별(시군구),1인가구,,,,,,,,,,,,,,,,,,,남자,,,,,,,,,,,,,,,,여자,,,,,,,,,,,,,,,
,전체_남녀,미성년_남녀,20~24,25~29,30~34,청년_남녀,35~39,40~44,45~49,50~54,55~59,60~64,장년_남녀,65~69,70~74,75~79,80~84,85세 이상,노년_남녀,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상
충청남도 > 논산시,17566,324,1245,1130,839,3214,651,718,993,1221,1672,1812,7067,1532,1452,1466,1398,1113,,8224,138,622,765,568,451,488,665,758,945,894,668,457,362,253,190,9342,186,623,365,271,200,230,328,463,727,918,864,995,1104,1145,923
충청남도 > 계룡시,3218,13,90,271,221,582,210,236,285,335,317,306,1689,243,182,201,177,131,,1503,7,51,172,141,138,143,164,176,142,136,99,52,36,29,17,1715,6,39,99,80,72,93,121,159,175,170,144,130,165,148,114
충청남도 > 당진시,23570,165,979,2049,2144,5172,1943,1723,1931,2074,2352,2155,12178,1462,1291,1198,1203,901,,14614,85,526,1541,1800,1610,1400,1467,1447,1543,1277,678,494,317,249,180,8956,80,453,508,344,333,323,464,627,809,878,784,797,881,954,721
충청남도 > 금산군,8783,459,968,293,196,1457,233,238,424,596,781,915,3187,755,721,839,794,571,,4012,214,456,183,125,166,164,290,383,490,508,355,238,190,132,118,4771,245,512,110,71,67,74,134,213,291,407,400,483,649,662,453
충청남도 > 부여군,9598,93,285,346,278,909,261,257,428,539,800,1078,3363,959,957,1134,1152,1031,,3896,43,122,198,171,175,167,282,353,449,563,427,289,258,215,184,5702,50,163,148,107,86,90,146,186,351,515,532,668,876,937,847
충청남도 > 서천군,7846,10,88,226,190,504,165,219,352,447,724,806,2713,847,843,994,1036,899,,3230,9,49,130,137,120,162,242,313,463,433,355,262,217,182,156,4616,NaN,39,96,53,45,57,110,134,261,373,492,581,777,854,743
충청남도 > 청양군,4709,22,130,184,133,447,104,136,194,311,460,539,1744,461,446,515,584,490,,2110,8,67,115,101,73,91,148,206,263,297,234,154,116,124,113,2599,14,63,69,32,31,45,46,105,197,242,227,292,399,460,377
충청남도 > 홍성군,14810,421,1695,1034,814,3543,670,669,864,958,1254,1315,5730,1119,1004,1060,1067,866,,6882,200,786,646,586,462,454,515,550,709,637,442,323,218,192,162,7928,221,909,388,228,208,215,349,408,545,678,677,681,842,875,704
충청남도 > 예산군,11065,92,419,551,453,1423,391,403,539,778,1091,1217,4419,1084,972,1092,1098,885,,5013,38,204,360,326,290,284,366,464,629,616,450,334,235,219,198,6052,54,215,191,127,101,119,173,314,462,601,634,638,857,879,687
충청남도 > 태안군,10139,208,665,575,374,1614,336,389,551,801,1003,1164,4244,951,871,938,749,564,,5065,162,494,414,271,248,269,361,491,550,603,423,311,228,148,92,5074,46,171,161,103,88,120,190,310,453,561,528,560,710,601,472
전라북도 > 완산구,46758,509,4046,5388,4207,13641,3213,2894,3406,3565,3929,4057,21064,3268,3006,2340,1745,1185,,21868,265,1729,2818,2572,2019,1795,2044,1954,1873,1596,1183,891,535,357,237,24890,244,2317,2570,1635,1194,1099,1362,1611,2056,2461,2085,2115,1805,1388,948
전라북도 > 덕진구,42280,937,5679,5287,3760,14726,3043,2699,3039,3028,3080,3053,17942,2376,2191,1780,1425,903,,22178,534,3087,3192,2423,2062,1734,1976,1806,1547,1362,906,659,397,298,195,20102,403,2592,2095,1337,981,965,1063,1222,1533,1691,1470,1532,1383,1127,708
