행정구역별(시군구),1인가구,,,,,,,,,,,,,,,,,,,남자,,,,,,,,,,,,,,,,여자,,,,,,,,,,,,,,,
,전체_남녀,미성년_남녀,20~24,25~29,30~34,청년_남녀,35~39,40~44,45~49,50~54,55~59,60~64,장년_남녀,65~69,70~74,75~79,80~84,85세 이상,노년_남녀,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상
전라북도 > 군산시,37319,571,3152,2945,2299,8396,2394,2284,2822,3014,3339,3559,17412,2967,2688,2273,1741,1271,,19338,353,1731,1833,1608,1651,1613,1874,1850,1877,1787,1262,876,469,327,227,17981,218,1421,1112,691,743,671,948,1164,1462,1772,1705,1812,1804,1414,1044
전라북도 > 익산시,41275,1015,5733,3662,2234,11629,1922,1972,2533,2937,3376,3720,16460,2968,2696,2580,2242,1685,,20488,554,3149,2366,1555,1329,1305,1649,1783,1852,1759,1164,782,549,400,292,20787,461,2584,1296,679,593,667,884,1154,1524,1961,1804,1914,2031,1842,1393
전라북도 > 정읍시,15563,55,329,677,602,1608,567,681,928,1196,1456,1583,6411,1396,1447,1693,1591,1362,,6777,32,165,420,383,410,495,611,767,862,818,607,455,324,251,177,8786,23,164,257,219,157,186,317,429,594,765,789,992,1369,1340,1185
전라북도 > 남원시,11404,20,175,519,436,1130,410,504,696,867,1025,1185,4687,974,1145,1277,1231,940,,4695,11,78,283,278,271,343,445,537,600,594,391,325,226,180,133,6709,9,97,236,158,139,161,251,330,425,591,583,820,1051,1051,807
전라북도 > 김제시,11679,34,178,363,336,877,346,429,597,773,957,1284,4386,1126,1198,1440,1392,1226,,4655,24,93,212,231,241,293,415,520,577,649,444,342,246,196,172,7024,10,85,151,105,105,136,182,253,380,635,682,856,1194,1196,1054
전라북도 > 완주군,13398,444,1990,1014,751,3755,673,655,834,1013,1010,1028,5213,866,829,867,791,633,,7078,230,1129,639,537,478,468,594,675,643,573,402,292,184,130,104,6320,214,861,375,214,195,187,240,338,367,455,464,537,683,661,529
전라북도 > 진안군,3735,6,32,99,78,209,62,93,170,288,393,425,1431,374,388,448,497,382,,1639,NaN,15,58,54,40,68,127,185,244,270,198,146,100,72,59,2096,NaN,17,41,24,22,25,43,103,149,155,176,242,348,425,323
전라북도 > 무주군,3748,NaN,35,140,116,291,96,128,162,314,377,352,1429,336,369,459,485,375,,1555,NaN,16,59,81,70,94,118,210,226,189,162,112,83,77,57,2193,NaN,19,81,35,26,34,44,104,151,163,174,257,376,408,318
전라북도 > 장수군,3231,6,42,83,88,213,75,92,124,218,288,383,1180,337,331,403,428,333,,1325,NaN,20,54,60,57,73,86,133,177,213,161,114,58,63,54,1906,NaN,22,29,28,18,19,38,85,111,170,176,217,345,365,279
전라북도 > 임실군,4800,159,393,143,94,630,77,131,199,273,410,466,1556,387,469,551,602,446,,2137,67,171,97,72,63,106,150,192,277,293,200,172,116,99,62,2663,92,222,46,22,14,25,49,81,133,173,187,297,435,503,384
전라북도 > 순창군,3938,6,29,97,73,199,84,114,173,265,311,412,1359,343,459,598,595,379,,1525,5,12,50,50,57,85,130,188,200,226,141,144,102,84,51,2413,NaN,17,47,23,27,29,43,77,111,186,202,315,496,511,328
전라북도 > 고창군,8326,19,81,252,235,568,224,267,373,520,663,835,2882,750,933,1165,1114,895,,3228,13,37,138,151,161,189,266,342,419,444,299,277,204,162,126,5098,6,44,114,84,63,78,107,178,244,391,451,656,961,952,769
전라북도 > 부안군,7815,13,82,237,230,549,216,228,370,543,696,832,2885,787,905,960,978,738,,3278,8,41,148,159,146,168,268,351,424,439,331,300,186,181,128,4537,5,41,89,71,70,60,102,192,272,393,456,605,774,797,610
전라남도 > 목포시,31836,598,2338,2225,1866,6429,2154,2122,2525,2684,3025,3208,15718,2445,2299,2019,1476,852,,15988,431,1457,1246,1191,1458,1450,1615,1559,1546,1461,976,675,481,286,156,15848,167,881,979,675,696,672,910,1125,1479,1747,1469,1624,1538,1190,696
전라남도 > 여수시,34072,438,1905,2696,2047,6648,1960,1936,2461,2809,3300,3381,15847,2979,2677,2429,1835,1219,,17588,265,1133,1842,1503,1408,1401,1687,1765,1831,1632,1258,809,510,347,197,16484,173,772,854,544,552,535,774,1044,1469,1749,1721,1868,1919,1488,1022
전라남도 > 순천시,31947,305,2135,3092,2319,7546,2096,1787,2168,2575,2892,3066,14584,2365,1993,2032,1736,1386,,15235,159,999,1819,1582,1434,1183,1334,1458,1437,1357,983,598,383,281,228,16712,146,1136,1273,737,662,604,834,1117,1455,1709,1382,1395,1649,1455,1158
전라남도 > 나주시,17978,147,913,1723,1366,4002,1109,1016,1154,1256,1423,1453,7411,1252,1300,1510,1374,982,,8460,70,448,933,860,745,690,762,768,810,759,531,430,280,221,153,9518,77,465,790,506,364,326,392,488,613,694,721,870,1230,1153,829
전라남도 > 광양시,16276,106,715,1412,1218,3345,1221,1202,1412,1733,1675,1502,8745,1016,847,841,772,604,,9404,70,419,983,944,983,920,987,1165,1025,834,468,256,163,117,70,6872,36,296,429,274,238,282,425,568,650,668,548,591,678,655,534
전라남도 > 담양군,5643,34,169,275,169,613,183,183,273,372,455,536,2002,488,537,708,720,541,,2361,23,105,172,115,128,128,189,235,281,297,207,156,131,104,90,3282,11,64,103,54,55,55,84,137,174,239,281,381,577,616,451
전라남도 > 곡성군,5278,101,326,226,160,712,126,137,212,302,412,478,1667,394,481,628,710,585,,2198,69,177,131,118,90,91,147,182,261,293,198,137,122,101,81,3080,32,149,95,42,36,46,65,120,151,185,196,344,506,609,504
전라남도 > 구례군,4195,7,30,102,112,244,105,122,192,338,430,487,1674,376,418,537,555,384,,1692,6,18,44,70,74,77,131,220,256,275,160,131,93,88,49,2503,NaN,12,58,42,31,45,61,118,174,212,216,287,444,467,335
전라남도 > 고흥군,11805,13,78,240,203,521,200,282,409,692,934,1197,3714,1229,1425,1699,1785,1419,,4555,8,40,136,149,139,197,298,478,586,701,561,442,309,276,235,7250,5,38,104,54,61,85,111,214,348,496,668,983,1390,1509,1184
전라남도 > 보성군,7007,7,61,176,137,374,142,167,267,421,593,750,2340,685,709,1009,998,885,,2689,NaN,32,85,96,102,128,184,307,353,420,309,213,190,148,120,4318,5,29,91,41,40,39,83,114,240,330,376,496,819,850,765
전라남도 > 화순군,8555,21,178,325,275,778,237,304,476,660,773,865,3315,757,835,1141,1013,695,,3429,12,86,181,181,156,197,301,424,428,473,321,246,199,135,89,5126,9,92,144,94,81,107,175,236,345,392,436,589,942,878,606
전라남도 > 장흥군,6305,11,71,224,176,471,155,155,304,403,520,625,2162,543,684,789,894,751,,2420,8,36,115,114,108,114,213,255,306,346,235,190,156,131,93,3885,NaN,35,109,62,47,41,91,148,214,279,308,494,633,763,658
전라남도 > 강진군,5856,14,100,230,177,507,155,182,243,323,472,576,1951,528,636,741,864,615,,2276,7,49,129,113,110,121,171,226,292,296,236,177,133,137,79,3580,7,51,101,64,45,61,72,97,180,280,292,459,608,727,536
전라남도 > 해남군,10325,21,124,326,259,709,280,315,478,653,864,1065,3655,1002,1147,1429,1347,1015,,4231,8,54,191,175,197,247,335,428,541,580,444,355,269,243,164,6094,13,70,135,84,83,68,143,225,323,485,558,792,1160,1104,851
전라남도 > 영암군,9120,131,717,456,352,1525,453,460,652,748,794,771,3878,643,695,878,793,577,,4543,51,335,302,241,378,378,485,534,510,465,282,201,176,134,71,4577,80,382,154,111,75,82,167,214,284,306,361,494,702,659,506
전라남도 > 무안군,12937,620,1969,1233,921,4123,768,568,662,732,785,826,4341,749,792,936,813,563,,6427,372,1103,726,602,513,375,405,433,482,441,318,240,196,137,84,6510,248,866,507,319,255,193,257,299,303,385,431,552,740,676,479
전라남도 > 함평군,5184,NaN,56,126,118,300,109,128,200,370,452,571,1830,495,579,722,742,512,,2199,NaN,29,69,80,80,92,146,272,296,346,235,206,134,136,77,2985,NaN,27,57,38,29,36,54,98,156,225,260,373,588,606,435
전라남도 > 영광군,7634,28,152,334,303,789,279,273,460,564,675,721,2972,685,823,962,815,560,,3367,13,100,205,212,195,207,334,380,401,390,297,242,197,107,87,4267,15,52,129,91,84,66,126,184,274,331,388,581,765,708,473
전라남도 > 장성군,5406,18,105,282,210,597,189,213,257,327,435,470,1891,440,538,696,683,543,,2266,8,58,177,150,152,155,184,227,265,246,190,153,113,100,88,3140,10,47,105,60,37,58,73,100,170,224,250,385,583,583,455
전라남도 > 완도군,7482,10,84,275,227,586,252,334,436,593,685,738,3038,682,716,914,902,634,,3325,5,34,143,155,199,240,305,419,438,413,301,239,184,145,105,4157,5,50,132,72,53,94,131,174,247,325,381,477,730,757,529
전라남도 > 진도군,5206,8,53,183,139,375,135,150,285,355,415,538,1878,412,564,758,704,507,,2177,NaN,26,114,95,99,110,210,252,265,295,193,196,139,118,61,3029,NaN,27,69,44,36,40,75,103,150,243,219,368,619,586,446
전라남도 > 신안군,6586,5,55,184,172,411,197,274,396,503,639,645,2654,600,652,841,853,570,,3202,NaN,28,119,131,150,227,329,387,457,421,304,239,189,133,87,3384,NaN,27,65,41,47,47,67,116,182,224,296,413,652,720,483
경상북도 > 남구,30330,54,1019,2792,2176,5987,1938,1891,2386,2822,3146,3513,15696,2778,2057,1779,1263,716,,16424,29,607,1929,1606,1397,1325,1632,1801,1783,1684,1169,664,441,240,117,13906,25,412,863,570,541,566,754,1021,1363,1829,1609,1393,1338,1023,599
경상북도 > 북구,32517,173,1657,2430,2178,6265,2032,1851,2310,2662,3283,3791,15929,3084,2354,2114,1582,1016,,14744,77,677,1535,1499,1353,1129,1362,1410,1508,1487,1103,715,456,276,157,17773,96,980,895,679,679,722,948,1252,1775,2304,1981,1639,1658,1306,859
경상북도 > 경주시,39638,1039,4146,2652,2093,8891,1860,1933,2500,3017,3457,3911,16678,3281,2811,2749,2424,1765,,18917,515,2134,1739,1474,1296,1297,1574,1782,1915,1852,1285,892,523,369,270,20721,524,2012,913,619,564,636,926,1235,1542,2059,1996,1919,2226,2055,1495
경상북도 > 김천시,19858,269,1373,1490,1239,4102,968,902,1180,1450,1733,1772,8005,1613,1516,1584,1596,1173,,9080,106,627,887,864,677,614,775,923,989,819,585,454,298,265,197,10778,163,746,603,375,291,288,405,527,744,953,1028,1062,1286,1331,976
경상북도 > 안동시,26475,668,3077,2173,1337,6587,1184,1144,1465,1758,2075,2372,9998,2044,1843,2045,1900,1390,,12252,372,1507,1299,856,774,760,932,1065,1170,1157,736,560,428,390,246,14223,296,1570,874,481,410,384,533,693,905,1215,1308,1283,1617,1510,1144
경상북도 > 구미시,54929,980,5067,7498,6786,19351,5608,4575,4429,4279,4132,3507,26530,2529,1738,1552,1343,906,,30740,658,2954,4590,4754,3897,3048,2710,2365,2080,1565,942,511,286,247,133,24189,322,2113,2908,2032,1711,1527,1719,1914,2052,1942,1587,1227,1266,1096,773
경상북도 > 영주시,15683,515,1577,899,577,3053,564,568,796,985,1284,1612,5809,1381,1222,1448,1291,964,,7105,233,914,629,411,392,379,502,588,681,790,507,346,318,252,163,8578,282,663,270,166,172,189,294,397,603,822,874,876,1130,1039,801
경상북도 > 영천시,16400,50,757,828,702,2287,679,713,1007,1380,1646,1804,7229,1597,1418,1461,1397,961,,7918,36,592,530,503,497,470,647,859,923,946,728,482,313,235,157,8482,14,165,298,199,182,243,360,521,723,858,869,936,1148,1162,804
경상북도 > 상주시,16128,368,1359,761,489,2609,493,494,641,971,1358,1558,5515,1430,1432,1616,1779,1379,,7058,232,882,542,331,342,347,411,599,807,797,548,407,319,274,220,9070,136,477,219,158,151,147,230,372,551,761,882,1025,1297,1505,1159
경상북도 > 문경시,10702,36,238,396,380,1014,347,347,541,755,955,1232,4177,1121,1098,1269,1145,842,,4270,13,96,234,267,229,214,351,470,518,593,422,307,237,181,138,6432,23,142,162,113,118,133,190,285,437,639,699,791,1032,964,704
경상북도 > 경산시,41805,1411,7812,4898,2964,15674,2414,2311,2636,2753,2872,2967,15953,2358,1968,1876,1624,941,,21222,683,3784,3280,2111,1711,1534,1655,1602,1455,1260,821,525,361,290,150,20583,728,4028,1618,853,703,777,981,1151,1417,1707,1537,1443,1515,1334,791
경상북도 > 군위군,4111,7,22,82,79,183,76,111,161,284,447,521,1600,494,434,508,507,378,,1888,NaN,14,50,56,52,74,115,173,296,314,281,164,134,101,60,2223,NaN,8,32,23,24,37,46,111,151,207,213,270,374,406,318
경상북도 > 의성군,9344,7,92,244,203,539,197,217,326,512,789,1095,3136,1027,1000,1257,1357,1021,,3722,NaN,50,147,133,128,159,225,366,490,609,439,313,247,235,177,5622,NaN,42,97,70,69,58,101,146,299,486,588,687,1010,1122,844
경상북도 > 청송군,4531,NaN,33,161,152,346,133,138,202,329,490,537,1829,486,441,566,509,351,,2019,NaN,15,119,124,100,109,143,228,271,283,219,147,112,88,59,2512,NaN,18,42,28,33,29,59,101,219,254,267,294,454,421,292
경상북도 > 영양군,2890,5,20,75,72,167,73,74,101,192,261,340,1041,309,298,383,396,291,,1207,NaN,10,42,51,54,58,77,140,163,187,151,86,86,56,42,1683,NaN,10,33,21,19,16,24,52,98,153,158,212,297,340,249
경상북도 > 영덕군,6814,7,49,187,167,403,172,188,282,448,654,753,2497,713,727,949,886,632,,2453,NaN,23,117,113,109,129,169,265,361,377,274,174,133,132,73,4361,NaN,26,70,54,63,59,113,183,293,376,439,553,816,754,559
경상북도 > 청도군,6942,8,37,154,151,342,146,168,285,428,677,910,2614,829,751,796,899,703,,2751,5,18,103,94,84,98,192,235,381,483,374,266,170,151,97,4191,NaN,19,51,57,62,70,93,193,296,427,455,485,626,748,606
경상북도 > 고령군,4686,14,49,112,116,277,123,154,268,381,518,629,2073,543,452,459,506,362,,2166,8,27,61,88,104,106,182,256,303,343,271,165,96,98,58,2520,6,22,51,28,19,48,86,125,215,286,272,287,363,408,304
경상북도 > 성주군,6322,10,71,240,218,529,174,246,300,487,730,836,2773,714,606,598,563,529,,3062,10,41,142,152,127,194,216,312,465,484,345,231,147,115,81,3260,NaN,30,98,66,47,52,84,175,265,352,369,375,451,448,448
경상북도 > 칠곡군,15218,129,623,1169,1482,3274,1508,1329,1468,1300,1357,1241,8203,943,752,780,687,450,,8548,75,305,709,1089,1148,998,1018,814,789,641,373,239,157,121,72,6670,54,318,460,393,360,331,450,486,568,600,570,513,623,566,378
경상북도 > 예천군,8281,69,280,337,358,975,310,302,357,524,652,786,2931,791,739,913,1015,848,,3443,33,174,189,245,219,192,218,312,380,416,336,219,207,179,124,4838,36,106,148,113,91,110,139,212,272,370,455,520,706,836,724
경상북도 > 봉화군,5083,5,35,111,93,239,114,130,203,362,479,637,1925,576,499,674,678,487,,2287,NaN,21,71,69,77,102,153,245,314,381,283,183,162,124,98,2796,NaN,14,40,24,37,28,50,117,165,256,293,316,512,554,389
경상북도 > 울진군,8370,15,177,501,384,1062,292,314,429,592,824,900,3351,762,702,865,881,732,,3788,7,107,343,276,212,227,311,407,504,467,317,234,167,127,82,4582,8,70,158,108,80,87,118,185,320,433,445,468,698,754,650
경상북도 > 울릉군,1734,NaN,34,107,98,239,102,120,174,185,193,212,986,144,113,112,77,61,,1063,NaN,22,80,71,76,94,143,146,137,135,71,43,22,14,9,671,NaN,12,27,27,26,26,31,39,56,77,73,70,90,63,52
경상남도 > 진주시,49332,1118,6540,5383,3610,15533,2728,2478,2969,3276,3741,4134,19326,3505,2970,2855,2350,1675,,23431,561,3336,3342,2399,1776,1579,1847,1836,1840,1732,1245,780,555,361,242,25901,557,3204,2041,1211,952,899,1122,1440,1901,2402,2260,2190,2300,1989,1433
경상남도 > 통영시,17445,107,549,914,877,2340,934,1034,1386,1644,1926,2188,9112,1702,1392,1270,941,581,,8440,57,330,527,548,661,744,898,993,1011,1024,708,457,260,142,80,9005,50,219,387,329,273,290,488,651,915,1164,994,935,1010,799,501
경상남도 > 사천시,15604,35,348,1111,1003,2462,878,959,1157,1289,1475,1583,7341,1350,1209,1286,1160,761,,7506,23,224,802,755,628,663,768,776,806,704,543,318,234,163,99,8098,12,124,309,248,250,296,389,513,669,879,807,891,1052,997,662
경상남도 > 김해시,56046,355,2797,4882,4805,12484,4687,4471,5148,5566,5624,5415,30911,3945,2939,2555,1805,1052,,29735,178,1370,2992,3399,3323,3065,3313,3274,2936,2496,1545,867,494,298,185,26311,177,1427,1890,1406,1364,1406,1835,2292,2688,2919,2400,2072,2061,1507,867
경상남도 > 밀양시,16645,50,335,703,571,1609,584,607,842,1264,1694,2208,7199,1970,1658,1680,1460,1019,,7152,31,188,429,399,384,427,538,720,924,1060,826,521,320,232,153,9493,19,147,274,172,200,180,304,544,770,1148,1144,1137,1360,1228,866
경상남도 > 거제시,27960,58,710,2169,2384,5263,2978,2952,3209,3062,2674,2523,17398,1677,1178,1010,782,594,,17150,34,372,1421,1803,2371,2347,2375,2021,1533,1292,692,414,238,146,91,10810,24,338,748,581,607,605,834,1041,1141,1231,985,764,772,636,503
경상남도 > 양산시,39894,148,1479,3599,3341,8419,3262,2969,3426,3583,3827,4149,21216,3151,2469,2111,1524,856,,20021,77,702,2032,2280,2310,1986,2119,2051,1966,1747,1091,728,486,292,154,19873,71,777,1567,1061,952,983,1307,1532,1861,2402,2060,1741,1625,1232,702
경상남도 > 의창구,30619,138,1544,2905,2651,7100,2502,2361,2812,3065,3123,3186,17049,2267,1449,1202,897,517,,16457,69,766,1850,1861,1723,1594,1757,1804,1642,1411,906,516,285,182,91,14162,69,778,1055,790,779,767,1055,1261,1481,1775,1361,933,917,715,426
경상남도 > 성산구,21745,42,929,2945,2705,6579,2179,1881,2077,1918,1978,1849,11882,1196,797,529,444,276,,11625,25,423,1739,1873,1425,1199,1180,1060,956,774,460,254,125,83,49,10120,17,506,1206,832,754,682,897,858,1022,1075,736,543,404,361,227
경상남도 > 마산합포구,22631,100,935,1301,1197,3433,1223,1256,1490,1722,2142,2888,10721,2486,1998,1764,1314,815,,10364,48,466,781,803,814,821,930,1028,1092,1251,946,619,374,239,152,12267,52,469,520,394,409,435,560,694,1050,1637,1540,1379,1390,1075,663
경상남도 > 마산회원구,21943,81,609,1235,1207,3051,1271,1317,1669,1932,2433,2896,11518,2511,1878,1440,971,493,,10499,42,259,700,814,879,883,1085,1141,1277,1235,980,569,366,190,79,11444,39,350,535,393,392,434,584,791,1156,1661,1531,1309,1074,781,414
경상남도 > 진해구,22223,58,694,1802,1861,4357,1996,1852,2049,1977,1964,2221,12059,1782,1368,1127,906,566,,12345,34,454,1193,1357,1492,1405,1440,1238,1064,1008,714,424,243,181,98,9878,24,240,609,504,504,447,609,739,900,1213,1068,944,884,725,468
경상남도 > 의령군,5124,8,63,153,141,357,117,135,211,314,451,569,1797,515,523,674,711,539,,2078,NaN,25,88,88,78,95,138,208,283,321,271,181,112,114,72,3046,NaN,38,65,53,39,40,73,106,168,248,244,342,562,597,467
경상남도 > 함안군,8846,16,113,256,302,671,278,368,576,714,932,1152,4020,969,831,934,810,595,,4269,10,82,171,228,204,295,414,473,578,637,464,300,195,126,92,4577,6,31,85,74,74,73,162,241,354,515,505,531,739,684,503
경상남도 > 창녕군,9792,30,104,310,305,719,279,354,484,731,981,1218,4047,1040,949,1084,1121,802,,4217,25,64,180,214,193,260,325,485,562,613,454,343,207,163,129,5575,5,40,130,91,86,94,159,246,419,605,586,606,877,958,673
경상남도 > 고성군,7870,11,72,191,210,473,252,254,395,625,770,956,3252,844,806,857,889,738,,3378,6,39,98,154,178,198,285,407,435,516,368,268,179,134,113,4492,5,33,93,56,74,56,110,218,335,440,476,538,678,755,625
경상남도 > 남해군,7368,92,152,201,130,483,120,143,282,419,604,723,2291,734,828,909,1030,1001,,2721,55,104,124,83,78,97,193,281,337,392,302,254,158,134,129,4647,37,48,77,47,42,46,89,138,267,331,432,574,751,896,872
경상남도 > 하동군,7072,9,68,184,154,406,156,193,300,563,711,891,2814,797,684,819,850,693,,3033,NaN,40,102,104,119,141,204,376,434,512,377,232,173,122,93,4039,5,28,82,50,37,52,96,187,277,379,420,452,646,728,600
경상남도 > 산청군,6032,NaN,45,116,125,286,116,160,265,474,650,782,2447,662,618,725,716,576,,2533,NaN,25,73,82,79,104,184,304,378,436,321,230,144,94,77,3499,NaN,20,43,43,37,56,81,170,272,346,341,388,581,622,499
경상남도 > 함양군,6679,11,76,206,169,451,144,171,331,465,609,738,2458,651,682,858,889,679,,2595,NaN,36,112,114,94,126,220,276,369,388,293,208,151,124,80,4084,7,40,94,55,50,45,111,189,240,350,358,474,707,765,599
경상남도 > 거창군,8787,34,223,401,344,968,252,289,408,597,749,891,3186,824,844,1024,1069,838,,3459,16,159,253,232,164,191,269,358,404,427,313,222,170,146,135,5328,18,64,148,112,88,98,139,239,345,464,511,622,854,923,703
경상남도 > 합천군,8080,5,64,188,133,385,138,176,292,444,696,887,2633,814,878,1175,1226,964,,3063,5,31,103,91,99,127,205,292,468,490,369,250,211,181,141,5017,NaN,33,85,42,39,49,87,152,228,397,445,628,964,1045,823
