행정구역별(시군구),전체_남녀_2020,미성년_남녀_2020,청년_남녀_2020,장년_남녀_2020,노년_남녀_2020,전체_남_2020,미성년_남_2020,청년_남_2020,장년_남_2020,노년_남_2020,전체_여_2020,미성년_여_2020,청년_여_2020,장년_여_2020,노년_여_2020
부산광역시 > 중구,10007,42,2633,4361,2971,4716,14,1245,2500,957,5291,28,1599,1650,2014
부산광역시 > 서구,18384,202,4746,7083,6353,7997,55,2093,4032,1817,10387,147,2959,2745,4536
부산광역시 > 동구,15508,40,2909,6865,5694,7064,19,1434,4048,1563,8444,21,1847,2445,4131
부산광역시 > 영도구,19073,582,3514,7498,7479,9489,429,2484,4457,2119,9584,153,1242,2829,5360
부산광역시 > 부산진구,58924,741,20266,22972,14945,25431,284,9098,12002,4047,33493,457,12894,9244,10898
부산광역시 > 동래구,29008,83,6006,13636,9283,12435,33,3037,6926,2439,16573,50,3822,5857,6844
부산광역시 > 남구,34934,763,11300,12991,9880,15628,305,5965,6903,2455,19306,458,5980,5443,7425
부산광역시 > 북구,31397,160,4925,15093,11219,14131,70,2822,8081,3158,17266,90,2669,6446,8061
부산광역시 > 해운대구,44867,178,8844,21554,14291,18177,77,4259,10305,3536,26690,101,6104,9730,10755
부산광역시 > 사하구,39817,359,8771,18163,12524,19502,183,5129,10504,3686,20315,176,4355,6946,8838
부산광역시 > 금정구,36779,934,13149,12877,9819,17069,405,7298,6754,2612,19710,529,6472,5502,7207
부산광역시 > 강서구,13410,39,3547,7217,2607,8079,17,2394,4805,863,5331,22,1567,1998,1744
부산광역시 > 연제구,26078,203,6638,11523,7714,10783,86,2979,5674,2044,15295,117,4425,5083,5670
부산광역시 > 수영구,27696,83,8940,11538,7135,11423,27,4041,5548,1807,16273,56,5863,5026,5328
부산광역시 > 사상구,30922,421,7082,14701,8718,15412,185,3803,8834,2590,15510,236,3796,5350,6128
부산광역시 > 기장군,18403,43,3668,9367,5325,8975,21,2198,5237,1519,9428,22,1957,3643,3806
대구광역시 > 중구,14802,81,6090,5164,3467,6680,37,2835,2895,913,8122,44,3676,1848,2554
대구광역시 > 동구,45207,105,9362,21079,14661,20368,56,5152,11322,3838,24839,49,5268,8699,10823
대구광역시 > 서구,25770,51,3487,13410,8822,12119,29,1962,7825,2303,13651,22,1961,5149,6519
대구광역시 > 남구,29917,257,8503,13096,8061,13255,96,3896,7103,2160,16662,161,5471,5129,5901
대구광역시 > 북구,55311,981,17691,23878,12761,27529,436,10398,13620,3075,27782,545,8428,9123,9686
대구광역시 > 수성구,40196,228,8687,18695,12586,15801,101,4264,8623,2813,24395,127,5615,8880,9773
대구광역시 > 달서구,67771,915,17496,32239,17121,31487,367,9369,17384,4367,36284,548,9624,13358,12754
대구광역시 > 달성군,25569,139,6062,13388,5980,13713,97,4271,7799,1546,11856,42,2431,4949,4434
인천광역시 > 중구,23101,56,8820,10125,4100,13159,38,4894,6797,1430,9942,18,4446,2808,2670
인천광역시 > 동구,7335,70,782,3442,3041,3569,14,501,2196,858,3766,56,389,1138,2183
인천광역시 > 연수구,34745,860,11339,16392,6154,18070,419,6534,9360,1757,16675,441,5863,5974,4397
인천광역시 > 남동구,59396,134,13892,31352,14018,29707,58,7701,17902,4046,29689,76,7872,11769,9972
인천광역시 > 부평구,53636,159,10941,28223,14313,26405,87,5966,16237,4115,27231,72,6426,10535,10198
인천광역시 > 계양구,29622,283,5113,16990,7236,14700,55,2756,9794,2095,14922,228,3104,6449,5141
인천광역시 > 서구,48799,125,11719,27619,9336,27226,72,6970,17348,2836,21573,53,6128,8892,6500
인천광역시 > 미추홀구,56472,804,16564,26156,12948,29995,378,9936,15761,3920,26477,426,7978,9045,9028
인천광역시 > 강화군,8095,13,627,3467,3988,3663,6,394,1948,1315,4432,7,315,1437,2673
인천광역시 > 옹진군,3640,6,523,1947,1164,2181,5,365,1345,466,1459,NaN,189,571,698
광주광역시 > 동구,18969,540,7507,6753,4169,9589,288,4102,3956,1243,9380,252,3819,2383,2926
광주광역시 > 서구,41730,192,12618,20210,8710,20098,79,6323,11406,2290,21632,113,7794,7305,6420
광주광역시 > 남구,25906,475,6440,11638,7353,11753,225,3305,6261,1962,14153,250,3799,4713,5391
광주광역시 > 북구,59846,611,17259,27947,14029,29873,288,9490,16244,3851,29973,323,9308,10164,10178
광주광역시 > 광산구,47497,943,15149,23442,7963,25504,351,8401,14720,2032,21993,592,8042,7428,5931
대전광역시 > 동구,41663,2428,15290,14686,9259,21586,1153,8765,8813,2855,20077,1275,7134,5264,6404
대전광역시 > 중구,32143,194,8046,14616,9287,14870,74,3816,8243,2737,17273,120,4963,5640,6550
대전광역시 > 서구,71702,2181,30037,28123,11361,34303,1058,15433,14766,3046,37399,1123,16866,11095,8315
대전광역시 > 유성구,59212,2526,30273,20695,5718,33012,1293,18216,11804,1699,26200,1233,13736,7212,4019
대전광역시 > 대덕구,24122,521,6100,11512,5989,12486,226,3663,6864,1733,11636,295,2851,4234,4256
울산광역시 > 중구,24362,59,4217,13222,6864,12360,27,2571,7704,2058,12002,32,2098,5066,4806
울산광역시 > 남구,40202,232,11907,20467,7596,21514,129,7497,11643,2245,18688,103,5539,7695,5351
울산광역시 > 동구,16857,31,3483,9877,3466,9965,12,2340,6551,1062,6892,19,1471,2998,2404
울산광역시 > 북구,16925,20,4286,9580,3039,10238,11,3230,6158,839,6687,9,1409,3069,2200
울산광역시 > 울주군,24502,269,4712,13099,6422,13993,182,3391,8445,1975,10509,87,1686,4289,4447
경기도 > 장안구,30264,237,9550,13741,6736,16468,104,6347,8050,1967,13796,133,3898,4996,4769
경기도 > 권선구,41517,157,12210,22027,7123,22777,49,7321,13191,2216,18740,108,6381,7344,4907
경기도 > 팔달구,30497,117,10676,14038,5666,16484,43,5989,8568,1884,14013,74,5631,4526,3782
