행정구역별(시군구),전체_남녀,미성년_남녀,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상
경기도 > 구리시,"14,290",56,359,880,"1,224","1,296","1,273","1,558","1,565","1,689","1,304",903,844,707,389,243,"7,221",28,145,489,753,820,780,917,912,877,611,340,237,166,95,51,"7,069",28,214,391,471,476,493,641,653,812,693,563,607,541,294,192
경기도 > 남양주시,"39,032",191,848,"2,023","2,937","3,340","3,781","3,986","4,060","4,380","3,771","2,827","2,530","2,209","1,358",791,"19,933",84,393,"1,235","1,964","2,242","2,495","2,442","2,476","2,218","1,639",965,778,596,252,154,"19,099",107,455,788,973,"1,098","1,286","1,544","1,584","2,162","2,132","1,862","1,752","1,613","1,106",637
경기도 > 오산시,"21,737",174,"1,214","2,943","3,733","3,013","2,200","1,929","1,508","1,460","1,057",780,676,556,342,152,"13,159",70,588,"1,968","2,663","2,163","1,543","1,257",928,759,502,288,202,130,71,27,"8,578",104,626,975,"1,070",850,657,672,580,701,555,492,474,426,271,125
경기도 > 시흥시,"38,217",233,"1,443","3,366","4,401","4,709","4,700","4,625","3,959","3,480","2,170","1,496","1,255","1,205",772,403,"25,065",136,957,"2,479","3,415","3,733","3,627","3,357","2,664","2,079","1,145",606,385,262,141,79,"13,152",97,486,887,986,976,"1,073","1,268","1,295","1,401","1,025",890,870,943,631,324
경기도 > 군포시,"19,619",57,545,"1,569","2,075","1,818","1,822","1,891","1,732","1,935","1,485","1,216","1,076","1,086",829,483,"9,588",30,251,999,"1,440","1,200","1,135","1,099","1,005",836,558,388,242,183,141,81,"10,031",27,294,570,635,618,687,792,727,"1,099",927,828,834,903,688,402
경기도 > 의왕시,"10,543",161,601,885,"1,071",924,906,974,870,"1,045",797,624,540,527,386,232,"5,393",47,248,552,790,668,619,595,490,509,323,204,140,100,60,48,"5,150",114,353,333,281,256,287,379,380,536,474,420,400,427,326,184
경기도 > 하남시,"15,721",56,425,"1,215","1,679","1,520","1,405","1,466","1,534","1,783","1,509","1,095",829,584,373,248,"8,596",32,219,764,"1,203","1,030",949,938,918,899,656,467,277,147,69,28,"7,125",24,206,451,476,490,456,528,616,884,853,628,552,437,304,220
경기도 > 처인구,"20,897",567,"2,634","1,977","1,647","1,579","1,723","1,821","1,768","1,869","1,484","1,086",965,848,596,333,"11,798",268,"1,260","1,461","1,185","1,162","1,180","1,218","1,100","1,088",710,431,290,240,146,59,"9,099",299,"1,374",516,462,417,543,603,668,781,774,655,675,608,450,274
경기도 > 기흥구,"25,975",213,"1,879","2,809","3,101","2,655","2,533","2,409","1,910","1,954","1,681","1,413","1,321","1,076",667,354,"13,405",114,973,"1,770","2,169","1,775","1,528","1,385","1,027",852,593,399,358,240,148,74,"12,570",99,906,"1,039",932,880,"1,005","1,024",883,"1,102","1,088","1,014",963,836,519,280
경기도 > 수지구,"18,533",217,"1,641","2,787","2,438","1,714","1,539","1,327","1,070","1,056","1,065","1,045",971,847,484,332,"8,901",103,712,"1,652","1,649","1,060",941,717,550,439,306,248,192,192,84,56,"9,632",114,929,"1,135",789,654,598,610,520,617,759,797,779,655,400,276
경기도 > 파주시,"32,454",140,"1,220","2,704","3,312","2,967","2,870","3,133","3,138","3,138","2,464","1,924","1,914","1,763","1,094",673,"17,895",65,667,"1,789","2,462","2,138","1,930","2,039","1,928","1,721","1,112",707,543,415,250,129,"14,559",75,553,915,850,829,940,"1,094","1,210","1,417","1,352","1,217","1,371","1,348",844,544
경기도 > 이천시,"18,096",219,"1,121","1,603","1,750","1,535","1,478","1,582","1,622","1,806","1,407","1,035",945,893,693,407,"9,344",84,410,944,"1,139","1,000",955,"1,003",972,977,678,416,309,220,158,79,"8,752",135,711,659,611,535,523,579,650,829,729,619,636,673,535,328
경기도 > 안성시,"20,522",330,"2,161","1,756","1,719","1,631","1,609","1,655","1,685","1,877","1,529","1,126","1,077","1,108",842,417,"10,930",139,993,"1,209","1,287","1,183","1,123","1,068","1,021",977,721,415,284,275,162,73,"9,592",191,"1,168",547,432,448,486,587,664,900,808,711,793,833,680,344
경기도 > 김포시,"25,271",113,691,"1,737","2,406","2,473","2,524","2,600","2,667","2,705","2,079","1,598","1,344","1,113",747,474,"13,780",63,384,"1,144","1,672","1,714","1,743","1,610","1,580","1,468",938,616,360,269,128,91,"11,491",50,307,593,734,759,781,990,"1,087","1,237","1,141",982,984,844,619,383
경기도 > 화성시,"52,899",466,"2,787","7,260","7,933","6,364","5,155","4,701","4,189","3,886","2,950","2,095","1,817","1,563","1,076",657,"32,770",180,"1,296","4,904","6,003","4,942","3,814","3,302","2,710","2,175","1,402",778,548,381,217,118,"20,129",286,"1,491","2,356","1,930","1,422","1,341","1,399","1,479","1,711","1,548","1,317","1,269","1,182",859,539
경기도 > 광주시,"24,301",109,559,"1,538","2,640","2,824","2,598","2,794","2,533","2,546","2,006","1,367","1,118",840,538,291,"14,479",59,282,"1,040","1,926","2,088","1,842","1,874","1,625","1,431",981,542,377,249,103,60,"9,822",50,277,498,714,736,756,920,908,"1,115","1,025",825,741,591,435,231
경기도 > 양주시,"15,079",101,556,"1,033",941,969,"1,307","1,545","1,557","1,772","1,440","1,131","1,037",883,516,291,"8,183",46,322,747,648,678,891,"1,020",988,968,678,460,337,233,111,56,"6,896",55,234,286,293,291,416,525,569,804,762,671,700,650,405,235
경기도 > 포천시,"16,366",86,777,"1,230",867,878,"1,185","1,485","1,903","2,093","1,579","1,169","1,045","1,036",630,403,"9,373",46,478,855,570,615,884,"1,070","1,323","1,242",863,537,360,299,149,82,"6,993",40,299,375,297,263,301,415,580,851,716,632,685,737,481,321
경기도 > 여주시,"10,789",65,308,624,684,706,801,919,"1,012","1,198","1,110",800,799,839,569,355,"5,444",33,157,395,439,422,499,581,598,662,574,352,277,258,126,71,"5,345",32,151,229,245,284,302,338,414,536,536,448,522,581,443,284
경기도 > 연천군,"5,999",13,610,676,202,183,229,341,467,592,579,485,488,571,359,204,"3,463",9,557,587,145,116,165,246,311,356,301,217,172,163,74,44,"2,536",NaN,53,89,57,67,64,95,156,236,278,268,316,408,285,160
경기도 > 가평군,"7,515",20,205,410,308,332,391,541,753,969,956,618,657,624,468,263,"3,671",12,140,296,181,226,250,328,428,508,486,265,231,171,101,48,"3,844",8,65,114,127,106,141,213,325,461,470,353,426,453,367,215
경기도 > 양평군,"12,173",31,268,540,495,530,681,863,"1,253","1,712","1,503","1,162","1,090",944,664,437,"5,933",18,182,367,318,308,431,510,704,906,700,544,398,282,151,114,"6,240",13,86,173,177,222,250,353,549,806,803,618,692,662,513,323
강원도 > 춘천시,"33,454",595,"4,061","3,453","2,763","2,068","2,086","2,446","2,654","3,056","2,487","1,675","2,000","1,984","1,272",854,"16,202",276,"2,138","2,145","1,678","1,254","1,305","1,496","1,454","1,495","1,044",556,571,426,209,155,"17,252",319,"1,923","1,308","1,085",814,781,950,"1,200","1,561","1,443","1,119","1,429","1,558","1,063",699
강원도 > 원주시,"39,399",621,"3,461","3,711","3,546","2,947","3,032","3,512","3,573","3,953","2,986","1,902","1,927","2,021","1,404",803,"19,742",365,"1,832","2,201","2,192","1,795","1,848","2,087","1,962","2,002","1,381",702,526,441,256,152,"19,657",256,"1,629","1,510","1,354","1,152","1,184","1,425","1,611","1,951","1,605","1,200","1,401","1,580","1,148",651
강원도 > 강릉시,"29,554",706,"4,996","2,386","1,427","1,378","1,571","1,865","2,181","2,754","2,390","1,888","1,977","1,830","1,255",950,"15,018",458,"3,483","1,696",878,879,997,"1,102","1,199","1,358","1,022",686,520,395,213,132,"14,536",248,"1,513",690,549,499,574,763,982,"1,396","1,368","1,202","1,457","1,435","1,042",818
강원도 > 동해시,"10,054",53,386,581,500,592,693,860,936,"1,209","1,002",798,862,751,503,328,"4,825",34,249,393,331,387,463,523,542,604,456,289,239,160,105,50,"5,229",19,137,188,169,205,230,337,394,605,546,509,623,591,398,278
강원도 > 태백시,"6,325",186,272,247,278,327,373,505,579,784,680,591,570,511,298,124,"3,114",158,127,145,189,215,252,342,355,459,321,231,143,104,62,11,"3,211",28,145,102,89,112,121,163,224,325,359,360,427,407,236,113
강원도 > 속초시,"10,011",32,199,545,553,540,632,998,"1,114","1,370","1,107",747,819,655,403,297,"4,609",15,106,329,326,343,381,583,582,690,482,281,231,139,77,44,"5,402",17,93,216,227,197,251,415,532,680,625,466,588,516,326,253
강원도 > 삼척시,"10,647",430,"1,726",638,393,378,440,555,744,997,801,739,816,876,683,431,"5,554",305,"1,268",497,266,283,309,410,473,574,380,259,206,165,119,40,"5,093",125,458,141,127,95,131,145,271,423,421,480,610,711,564,391
강원도 > 홍천군,"8,349",23,246,491,305,273,375,574,814,"1,126","1,023",710,745,805,529,310,"4,265",7,183,391,202,175,269,374,494,616,522,343,269,229,126,65,"4,084",16,63,100,103,98,106,200,320,510,501,367,476,576,403,245
강원도 > 횡성군,"5,118",28,106,143,140,139,226,349,490,689,650,466,465,553,398,276,"2,421",20,64,93,107,96,159,208,311,363,344,237,148,143,82,46,"2,697",8,42,50,33,43,67,141,179,326,306,229,317,410,316,230
강원도 > 영월군,"5,551",28,123,194,195,165,280,392,521,683,651,536,572,592,386,233,"2,776",22,90,146,135,116,189,284,356,411,341,240,179,136,86,45,"2,775",6,33,48,60,49,91,108,165,272,310,296,393,456,300,188
강원도 > 평창군,"5,732",13,54,192,206,240,333,443,601,747,730,543,524,572,327,207,"2,821",6,28,127,136,159,226,289,394,432,378,213,179,151,64,39,"2,911",7,26,65,70,81,107,154,207,315,352,330,345,421,263,168
강원도 > 정선군,"5,128",20,64,162,174,217,297,408,514,675,612,501,515,462,330,177,"2,530",10,38,93,121,154,216,292,345,372,319,204,159,127,53,27,"2,598",10,26,69,53,63,81,116,169,303,293,297,356,335,277,150
강원도 > 철원군,"6,323",10,"1,142","1,074",269,223,229,301,358,496,466,413,490,449,252,151,"3,928",6,"1,088",967,176,145,171,205,212,277,205,152,148,98,50,28,"2,395",NaN,54,107,93,78,58,96,146,219,261,261,342,351,202,123
강원도 > 화천군,"4,766",8,"1,235",986,218,111,130,185,261,325,275,233,253,295,157,94,"3,381",NaN,"1,162",916,156,84,89,138,175,199,157,104,95,54,35,13,"1,385",NaN,73,70,62,27,41,47,86,126,118,129,158,241,122,81
강원도 > 양구군,"3,439",11,757,569,167,114,124,193,220,272,218,187,212,188,132,75,"2,277",7,721,521,105,68,85,127,144,168,120,84,64,33,22,8,"1,162",NaN,36,48,62,46,39,66,76,104,98,103,148,155,110,67
강원도 > 인제군,"4,549",9,520,653,234,173,187,269,412,507,371,278,322,316,177,121,"2,822",NaN,483,578,150,117,138,195,271,314,207,105,120,84,37,21,"1,727",7,37,75,84,56,49,74,141,193,164,173,202,232,140,100
강원도 > 고성군,"5,723",151,"1,534",622,173,97,157,243,283,421,394,340,455,407,247,199,"3,272",116,"1,096",556,124,73,109,169,190,238,196,129,124,91,38,23,"2,451",35,438,66,49,24,48,74,93,183,198,211,331,316,209,176
강원도 > 양양군,"3,795",10,107,173,125,142,181,264,351,484,467,337,371,374,236,173,"1,814",8,82,126,83,96,128,187,222,269,223,136,116,72,39,27,"1,981",NaN,25,47,42,46,53,77,129,215,244,201,255,302,197,146
충청북도 > 충주시,"27,502",874,"4,481","2,360","1,490","1,333","1,453","1,871","2,094","2,446","2,113","1,496","1,662","1,827","1,320",682,"14,078",556,"2,456","1,684","1,020",891,971,"1,142","1,257","1,312",958,561,472,422,238,138,"13,424",318,"2,025",676,470,442,482,729,837,"1,134","1,155",935,"1,190","1,405","1,082",544
충청북도 > 제천시,"17,451",261,"2,182","1,180",825,747,868,"1,232","1,366","1,841","1,606","1,218","1,360","1,340",935,490,"8,540",154,"1,183",829,559,493,576,797,797,956,743,443,400,314,209,87,"8,911",107,999,351,266,254,292,435,569,885,863,775,960,"1,026",726,403
충청북도 > 상당구,"15,078",81,440,885,988,988,"1,080","1,314","1,452","1,657","1,496","1,124","1,148","1,116",804,505,"6,943",39,212,536,613,620,671,777,800,791,657,410,342,256,140,79,"8,135",42,228,349,375,368,409,537,652,866,839,714,806,860,664,426
충청북도 > 서원구,"23,598",316,"2,770","2,724","2,125","1,731","1,668","1,815","1,854","2,128","1,717","1,264","1,184","1,077",771,454,"11,595",165,"1,490","1,706","1,294","1,070","1,006","1,040",987,975,680,402,323,237,141,79,"12,003",151,"1,280","1,018",831,661,662,775,867,"1,153","1,037",862,861,840,630,375
충청북도 > 흥덕구,"29,523",187,"2,082","4,323","4,045","2,860","2,563","2,661","2,472","2,457","1,755","1,152",963,958,709,336,"15,469",81,"1,016","2,480","2,456","1,821","1,629","1,580","1,360","1,204",774,415,247,209,131,66,"14,054",106,"1,066","1,843","1,589","1,039",934,"1,081","1,112","1,253",981,737,716,749,578,270
충청북도 > 청원구,"21,477",250,"1,961","3,211","2,828","1,846","1,606","1,638","1,472","1,744","1,257",919,848,900,668,329,"12,079",135,"1,106","2,310","2,072","1,283","1,029",987,848,867,527,324,230,184,112,65,"9,398",115,855,901,756,563,577,651,624,877,730,595,618,716,556,264
충청북도 > 보은군,"4,424",7,45,95,84,80,136,223,324,481,441,407,531,686,556,328,"1,778",NaN,22,57,61,67,106,147,207,294,216,171,132,150,92,53,"2,646",NaN,23,38,23,13,30,76,117,187,225,236,399,536,464,275
충청북도 > 옥천군,"5,368",27,88,146,141,152,220,288,402,541,545,498,549,729,646,396,"2,170",15,62,93,95,114,152,182,252,308,251,192,136,137,122,59,"3,198",12,26,53,46,38,68,106,150,233,294,306,413,592,524,337
충청북도 > 영동군,"7,307",179,868,307,198,185,228,375,446,656,628,619,677,879,650,412,"3,199",109,500,206,128,113,163,261,277,366,318,226,174,187,115,56,"4,108",70,368,101,70,72,65,114,169,290,310,393,503,692,535,356
충청북도 > 진천군,"8,048",83,226,502,640,598,639,736,789,823,653,490,519,582,484,284,"4,325",45,136,348,496,455,457,518,486,437,332,194,162,130,87,42,"3,723",38,90,154,144,143,182,218,303,386,321,296,357,452,397,242
충청북도 > 괴산군,"5,897",71,379,184,167,144,197,316,475,642,629,521,590,668,567,347,"2,788",49,231,132,118,102,147,213,297,393,325,262,183,148,113,75,"3,109",22,148,52,49,42,50,103,178,249,304,259,407,520,454,272
충청북도 > 음성군,"13,231",337,"1,103",992,995,875,936,"1,088","1,226","1,331","1,087",746,749,779,614,373,"7,243",162,578,669,712,648,656,729,779,753,555,346,265,192,123,76,"5,988",175,525,323,283,227,280,359,447,578,532,400,484,587,491,297
충청북도 > 단양군,"3,946",NaN,40,126,114,111,149,243,360,486,448,397,452,488,346,182,"1,756",NaN,22,75,81,81,101,161,245,272,224,165,120,104,73,29,"2,190",NaN,18,51,33,30,48,82,115,214,224,232,332,384,273,153
충청북도 > 증평군,"4,527",32,341,390,377,318,288,367,413,453,365,278,273,296,210,126,"2,435",12,220,295,283,233,205,226,241,228,170,108,86,69,32,27,"2,092",20,121,95,94,85,83,141,172,225,195,170,187,227,178,99
충청남도 > 동남구,"32,514",904,"4,696","3,446","3,004","2,453","2,454","2,573","2,615","2,815","2,083","1,536","1,247","1,238",906,544,"16,993",340,"2,062","2,042","1,979","1,687","1,588","1,579","1,592","1,533","1,032",618,371,291,175,104,"15,521",564,"2,634","1,404","1,025",766,866,994,"1,023","1,282","1,051",918,876,947,731,440
충청남도 > 서북구,"42,815",452,"4,206","7,533","7,495","4,724","3,470","3,220","2,699","2,715","1,794","1,312","1,104",979,715,397,"24,349",193,"1,739","4,429","5,177","3,377","2,327","2,091","1,578","1,417",822,462,309,211,144,73,"18,466",259,"2,467","3,104","2,318","1,347","1,143","1,129","1,121","1,298",972,850,795,768,571,324
충청남도 > 공주시,"14,114",304,"1,765","1,083",697,570,643,902,"1,026","1,217","1,057",962,"1,070","1,198","1,011",609,"6,437",123,746,676,446,383,430,593,630,630,489,377,307,280,201,126,"7,677",181,"1,019",407,251,187,213,309,396,587,568,585,763,918,810,483
충청남도 > 보령시,"12,022",54,437,619,608,589,643,849,"1,021","1,276","1,182","1,133","1,037","1,133",904,537,"5,529",35,320,384,429,430,453,540,610,650,526,403,266,225,177,81,"6,493",19,117,235,179,159,190,309,411,626,656,730,771,908,727,456
충청남도 > 아산시,"32,456",411,"2,639","3,422","3,804","3,145","2,729","2,675","2,530","2,632","2,015","1,656","1,486","1,534","1,145",633,"18,561",183,"1,373","2,301","2,919","2,417","2,011","1,762","1,581","1,421",898,625,413,328,226,103,"13,895",228,"1,266","1,121",885,728,718,913,949,"1,211","1,117","1,031","1,073","1,206",919,530
충청남도 > 서산시,"17,746",240,"1,115","1,655","1,435","1,301","1,264","1,389","1,431","1,641","1,254","1,185","1,133","1,132","1,031",540,"9,595",141,647,"1,258","1,124",977,858,893,895,884,591,465,338,240,191,93,"8,151",99,468,397,311,324,406,496,536,757,663,720,795,892,840,447
충청남도 > 논산시,"15,346",143,"1,082",852,721,649,757,932,"1,166","1,453","1,363","1,334","1,312","1,489","1,308",785,"6,922",60,545,568,477,442,534,598,709,774,641,507,376,301,234,156,"8,424",83,537,284,244,207,223,334,457,679,722,827,936,"1,188","1,074",629
충청남도 > 계룡시,"2,614",15,70,243,179,193,248,282,270,276,208,122,152,151,135,70,"1,181",9,40,154,99,108,156,142,120,132,90,41,33,27,21,9,"1,433",6,30,89,80,85,92,140,150,144,118,81,119,124,114,61
충청남도 > 당진시,"19,432",173,792,"1,971","2,077","1,683","1,544","1,615","1,750","1,806","1,345","1,139",958,"1,127",938,514,"11,892",112,512,"1,581","1,741","1,350","1,175","1,152","1,158","1,075",699,460,311,273,194,99,"7,540",61,280,390,336,333,369,463,592,731,646,679,647,854,744,415
충청남도 > 금산군,"8,849",224,"1,805",483,229,223,321,480,584,713,631,608,684,821,698,345,"4,214",141,"1,019",386,166,161,234,312,358,417,307,225,176,147,126,39,"4,635",83,786,97,63,62,87,168,226,296,324,383,508,674,572,306
충청남도 > 부여군,"8,507",33,124,263,260,234,304,386,515,826,829,806,942,"1,202","1,105",678,"3,255",15,56,142,163,163,218,264,312,454,391,273,239,267,197,101,"5,252",18,68,121,97,71,86,122,203,372,438,533,703,935,908,577
충청남도 > 서천군,"7,141",10,75,166,155,176,203,361,458,658,664,734,859,"1,055",910,657,"2,715",5,38,112,97,133,146,252,308,368,316,251,214,205,162,108,"4,426",5,37,54,58,43,57,109,150,290,348,483,645,850,748,549
충청남도 > 청양군,"4,082",16,57,117,113,102,130,188,305,416,344,380,459,590,552,313,"1,668",7,29,73,79,74,101,130,173,251,166,158,131,119,114,63,"2,414",9,28,44,34,28,29,58,132,165,178,222,328,471,438,250
충청남도 > 홍성군,"12,573",414,"1,473",791,710,631,640,741,876,"1,076",938,921,865,"1,015",966,516,"5,707",186,723,514,478,432,404,460,501,542,397,333,222,218,200,97,"6,866",228,750,277,232,199,236,281,375,534,541,588,643,797,766,419
충청남도 > 예산군,"9,251",49,272,359,309,324,433,539,713,910,916,901,900,"1,102","1,021",503,"4,067",32,149,255,231,250,301,371,437,469,414,330,257,243,223,105,"5,184",17,123,104,78,74,132,168,276,441,502,571,643,859,798,398
충청남도 > 태안군,"7,594",69,141,302,330,321,366,545,649,866,795,736,795,758,602,319,"3,426",38,83,190,230,220,251,347,394,468,366,278,238,173,96,54,"4,168",31,58,112,100,101,115,198,255,398,429,458,557,585,506,265
전라북도 > 완산구,"39,853",698,"3,273","3,811","3,796","3,109","3,068","3,248","3,232","3,655","2,952","2,685","2,193","1,910","1,459",764,"18,874",368,"1,539","2,092","2,262","1,944","1,898","1,931","1,728","1,602","1,169",947,585,422,253,134,"20,979",330,"1,734","1,719","1,534","1,165","1,170","1,317","1,504","2,053","1,783","1,738","1,608","1,488","1,206",630
전라북도 > 덕진구,"31,662",415,"3,709","3,498","3,021","2,534","2,418","2,440","2,417","2,520","2,096","1,867","1,601","1,498","1,065",563,"16,447",215,"2,038","2,168","1,900","1,654","1,614","1,556","1,356","1,267",926,678,430,329,212,104,"15,215",200,"1,671","1,330","1,121",880,804,884,"1,061","1,253","1,170","1,189","1,171","1,169",853,459
전라북도 > 군산시,"33,020",570,"3,092","2,351","2,472","2,310","2,538","2,616","2,738","3,036","2,584","2,369","2,143","1,902","1,432",867,"17,519",326,"1,851","1,594","1,750","1,675","1,746","1,738","1,678","1,663","1,230",890,581,416,251,130,"15,501",244,"1,241",757,722,635,792,878,"1,060","1,373","1,354","1,479","1,562","1,486","1,181",737
전라북도 > 익산시,"36,474",977,"4,851","2,954","2,095","1,979","2,158","2,429","2,694","3,150","2,890","2,405","2,341","2,402","1,938","1,211","18,017",563,"2,857","2,068","1,402","1,326","1,450","1,506","1,601","1,541","1,290",845,603,454,320,191,"18,457",414,"1,994",886,693,653,708,923,"1,093","1,609","1,600","1,560","1,738","1,948","1,618","1,020"
전라북도 > 정읍시,"14,279",60,264,451,538,550,661,946,"1,094","1,343","1,242","1,228","1,490","1,750","1,669",993,"5,809",37,145,280,342,387,450,624,674,737,592,470,359,329,259,124,"8,470",23,119,171,196,163,211,322,420,606,650,758,"1,131","1,421","1,410",869
전라북도 > 남원시,"10,591",63,333,420,427,386,562,701,756,934,832,967,"1,083","1,336","1,096",695,"4,270",44,205,249,280,264,382,450,481,504,360,317,237,251,145,101,"6,321",19,128,171,147,122,180,251,275,430,472,650,846,"1,085",951,594
전라북도 > 김제시,"11,008",50,156,264,341,368,443,568,730,"1,005",945,"1,074","1,243","1,502","1,390",929,"4,181",35,88,156,244,271,312,407,481,554,431,383,281,243,183,112,"6,827",15,68,108,97,97,131,161,249,451,514,691,962,"1,259","1,207",817
전라북도 > 완주군,"12,182",629,"1,997",845,696,631,665,762,752,881,742,743,771,884,724,460,"6,243",331,"1,227",597,492,465,469,495,479,486,381,300,191,145,122,63,"5,939",298,770,248,204,166,196,267,273,395,361,443,580,739,602,397
전라북도 > 진안군,"3,398",12,38,71,77,80,126,168,235,352,297,330,395,489,445,283,"1,418",6,19,36,54,64,94,123,151,221,172,139,116,93,80,50,"1,980",6,19,35,23,16,32,45,84,131,125,191,279,396,365,233
전라북도 > 무주군,"3,320",8,21,83,87,105,127,202,258,307,262,306,381,516,416,241,"1,332",5,9,53,58,84,98,138,162,181,134,122,84,102,71,31,"1,988",NaN,12,30,29,21,29,64,96,126,128,184,297,414,345,210
전라북도 > 장수군,"2,941",8,32,53,67,78,85,149,217,269,289,295,338,461,409,191,"1,099",6,22,26,46,55,62,98,135,154,155,120,69,70,53,28,"1,842",NaN,10,27,21,23,23,51,82,115,134,175,269,391,356,163
전라북도 > 임실군,"4,187",139,266,155,77,87,116,178,239,309,300,373,447,637,538,326,"1,713",75,130,119,50,64,98,117,164,210,165,141,110,119,104,47,"2,474",64,136,36,27,23,18,61,75,99,135,232,337,518,434,279
전라북도 > 순창군,"3,807",9,40,71,80,96,121,187,234,262,295,358,527,670,519,338,"1,315",7,26,41,47,68,90,136,140,152,145,117,115,112,66,53,"2,492",NaN,14,30,33,28,31,51,94,110,150,241,412,558,453,285
전라북도 > 고창군,"7,931",31,127,226,223,206,265,369,482,658,664,796,"1,017","1,238",976,653,"2,888",18,55,134,161,146,190,264,307,375,281,302,214,199,166,76,"5,043",13,72,92,62,60,75,105,175,283,383,494,803,"1,039",810,577
전라북도 > 부안군,"7,548",20,98,209,173,180,278,407,516,681,689,790,886,"1,113",956,552,"2,935",11,59,131,110,127,204,267,342,365,335,300,220,221,155,88,"4,613",9,39,78,63,53,74,140,174,316,354,490,666,892,801,464
전라남도 > 목포시,"27,748",243,"1,495","1,700","2,280","2,279","2,218","2,323","2,576","2,963","2,333","2,014","1,898","1,747","1,042",637,"13,677",122,818,966,"1,442","1,573","1,508","1,426","1,442","1,450","1,053",722,527,348,177,103,"14,071",121,677,734,838,706,710,897,"1,134","1,513","1,280","1,292","1,371","1,399",865,534
전라남도 > 여수시,"29,570",276,"1,650","1,932","1,867","1,819","1,915","2,294","2,636","3,060","2,591","2,470","2,254","2,196","1,569","1,041","14,784",172,999,"1,365","1,346","1,281","1,362","1,501","1,586","1,616","1,229",903,585,437,261,141,"14,786",104,651,567,521,538,553,793,"1,050","1,444","1,362","1,567","1,669","1,759","1,308",900
전라남도 > 순천시,"26,404",312,"1,578","1,901","2,081","1,752","1,801","2,116","2,265","2,610","2,004","1,831","1,756","1,924","1,511",962,"12,212",175,744,"1,140","1,329","1,169","1,175","1,284","1,225","1,221",926,676,419,342,236,151,"14,192",137,834,761,752,583,626,832,"1,040","1,389","1,078","1,155","1,337","1,582","1,275",811
전라남도 > 나주시,"14,732",151,746,"1,048",928,846,870,"1,048","1,099","1,196",984,"1,020","1,309","1,546","1,157",784,"6,513",76,341,588,640,547,575,645,678,687,481,368,310,282,186,109,"8,219",75,405,460,288,299,295,403,421,509,503,652,999,"1,264",971,675
전라남도 > 광양시,"14,065",153,687,976,"1,234","1,191","1,133","1,455","1,396","1,433",977,823,685,854,653,415,"7,718",80,384,664,931,880,801,987,907,788,522,318,170,148,92,46,"6,347",73,303,312,303,311,332,468,489,645,455,505,515,706,561,369
전라남도 > 담양군,"5,150",52,219,196,150,130,190,262,348,393,412,431,600,745,614,408,"2,020",37,138,126,94,83,136,196,225,219,201,159,136,117,87,66,"3,130",15,81,70,56,47,54,66,123,174,211,272,464,628,527,342
전라남도 > 곡성군,"5,191",226,503,156,128,127,160,212,277,375,305,386,519,754,642,421,"2,089",170,315,103,91,86,109,132,168,226,176,134,103,120,104,52,"3,102",56,188,53,37,41,51,80,109,149,129,252,416,634,538,369
전라남도 > 구례군,"3,860",8,41,93,113,100,133,239,294,413,312,346,425,604,440,299,"1,402",6,12,45,75,70,89,148,179,224,144,119,90,110,52,39,"2,458",NaN,29,48,38,30,44,91,115,189,168,227,335,494,388,260
전라남도 > 고흥군,"11,151",22,82,200,190,200,287,460,616,928,957,"1,236","1,377","1,919","1,587","1,090","3,975",15,35,109,121,144,212,322,397,562,462,458,351,352,262,173,"7,176",7,47,91,69,56,75,138,219,366,495,778,"1,026","1,567","1,325",917
전라남도 > 보성군,"6,748",15,58,133,130,137,196,290,440,557,543,648,884,"1,129",980,608,"2,346",7,30,55,90,95,140,197,272,332,268,218,216,195,141,90,"4,402",8,28,78,40,42,56,93,168,225,275,430,668,934,839,518
전라남도 > 화순군,"7,866",30,149,286,266,273,352,506,570,691,597,712,960,"1,111",845,518,"2,956",14,81,153,171,165,219,352,341,402,278,239,203,162,98,78,"4,910",16,68,133,95,108,133,154,229,289,319,473,757,949,747,440
전라남도 > 장흥군,"5,876",17,83,168,144,173,189,303,409,502,463,548,664,916,792,505,"2,189",11,36,94,86,134,140,199,244,297,228,207,163,166,113,71,"3,687",6,47,74,58,39,49,104,165,205,235,341,501,750,679,434
전라남도 > 강진군,"5,446",19,74,155,164,148,174,252,377,466,385,506,646,903,693,484,"1,954",10,34,84,112,95,127,176,237,257,196,165,145,159,95,62,"3,492",9,40,71,52,53,47,76,140,209,189,341,501,744,598,422
전라남도 > 해남군,"9,749",22,135,267,251,270,336,477,706,851,853,954,"1,199","1,521","1,127",780,"3,708",15,60,147,176,188,235,320,451,492,426,339,269,315,170,105,"6,041",7,75,120,75,82,101,157,255,359,427,615,930,"1,206",957,675
전라남도 > 영암군,"8,318",83,423,414,458,548,559,617,645,669,549,601,709,913,718,412,"4,170",47,256,271,358,469,436,454,432,431,291,217,179,189,101,39,"4,148",36,167,143,100,79,123,163,213,238,258,384,530,724,617,373
