행정구역(시군구)별,youth_2016,youth_2017,youth_2018,youth_2019,youth_2020
충청남도 동남구,39259.0,37390,35945,35095,34032
충청남도 서북구,58984.0,61064,63132,63542,62963
충청남도 공주시,11744.0,11136,10592,10206,9822
충청남도 보령시,12104.0,11654,11223,10739,10307
충청남도 아산시,54284.5,54724,54453,53217,51970
충청남도 서산시,25891.0,25361,25088,24759,24324
충청남도 논산시,14033.0,13642,13228,12696,12187
충청남도 계룡시,7806.5,7879,7804,7435,7038
충청남도 당진시,25753.0,25578,25371,24944,24275
충청남도 금산군,5651.5,5429,5227,5021,4799
충청남도 부여군,6405.0,6057,5752,5485,5192
충청남도 서천군,4930.0,4663,4425,4177,3960
충청남도 청양군,2710.5,2568,2434,2283,2166
충청남도 홍성군,12767.0,13400,13318,12913,12594
충청남도 예산군,7707.5,7152,6873,6670,6410
충청남도 태안군,6307.0,6097,5839,5574,5314
전라북도 완산구,52551.0,50206,46773,43148,41605
전라북도 덕진구,44265.0,43913,45138,47234,47433
전라북도 군산시,40439.5,39204,37824,36327,34807
전라북도 익산시,40658.5,39122,37256,35086,33013
전라북도 정읍시,13464.0,12873,12268,11713,11117
전라북도 남원시,10217.5,9715,9314,8935,8553
전라북도 김제시,8912.5,8668,8328,7883,7459
전라북도 완주군,13755.5,13518,13104,12265,11487
전라북도 진안군,2529.5,2437,2340,2214,2105
전라북도 무주군,2572.0,2450,2354,2243,2146
전라북도 장수군,2485.5,2395,2278,2155,2020
전라북도 임실군,2819.5,2782,2697,2507,2275
전라북도 순창군,3149.0,3104,3010,2847,2668
전라북도 고창군,5739.5,5557,5224,4873,4661
전라북도 부안군,5382.0,5117,4811,4539,4326
전라남도 목포시,36743.0,35492,34140,32883,31278
전라남도 여수시,38806.5,37718,36423,35045,33896
전라남도 순천시,41198.0,40269,39525,38796,38238
전라남도 나주시,12326.0,13785,14666,14922,14959
전라남도 광양시,24253.5,23662,23046,22450,21649
전라남도 담양군,4163.0,4091,3981,3821,3714
전라남도 곡성군,2630.0,2483,2335,2166,1988
전라남도 구례군,2651.0,2531,2387,2223,2072
전라남도 고흥군,5238.5,4980,4752,4549,4407
전라남도 보성군,4063.0,3813,3571,3278,3034
전라남도 화순군,7598.0,7168,6766,6387,6120
전라남도 장흥군,4114.5,3767,3563,3428,3315
전라남도 강진군,3969.5,3681,3411,3221,3051
전라남도 해남군,8438.5,8005,7544,7086,6666
전라남도 영암군,7384.5,6864,6415,6127,5816
전라남도 무안군,12546.5,12346,12120,11752,12107
전라남도 함평군,3059.0,2921,2743,2513,2357
전라남도 영광군,6255.5,6000,5797,5767,5773
전라남도 장성군,5258.5,5112,4953,4765,4496
전라남도 완도군,5638.0,5484,5348,5177,4982
전라남도 진도군,3273.5,3124,2983,2874,2805
전라남도 신안군,3030.0,2922,2819,2703,2552
경상북도 남구,32966.0,32190,31261,30075,28704
경상북도 북구,37119.0,36334,35661,35156,34801
경상북도 경주시,29926.5,29073,28140,27247,26469
경상북도 김천시,16965.0,17141,16955,16620,16323
경상북도 안동시,21177.0,20317,19115,18024,17370
경상북도 구미시,69987.0,69003,67864,66317,64635
경상북도 영주시,12416.5,12072,11629,11096,10545
경상북도 영천시,9629.0,9370,9133,8994,8926
경상북도 상주시,10114.0,9776,9456,9162,8846
경상북도 문경시,7991.5,7489,7047,6777,6631
경상북도 경산시,34300.5,33842,33295,32652,31862
경상북도 군위군,1400.0,1363,1298,1231,1169
경상북도 의성군,3429.0,3339,3218,3133,3035
경상북도 청송군,1896.0,1823,1738,1644,1559
경상북도 영양군,1460.0,1402,1326,1272,1214
경상북도 영덕군,3182.0,3090,3005,2905,2758
경상북도 청도군,2960.0,2850,2743,2669,2619
경상북도 고령군,3339.5,3142,2926,2713,2496
경상북도 성주군,3597.5,3473,3340,3201,3038
경상북도 칠곡군,19073.0,18351,17440,16577,15679
경상북도 예천군,4200.5,4849,5854,6649,6911
경상북도 봉화군,2878.0,2739,2618,2458,2310
경상북도 울진군,5703.0,5433,5146,4886,4686
경상북도 울릉군,774.0,731,714,704,664
경상남도 진주시,49233.0,48460,47488,46713,46044
경상남도 통영시,20253.5,19543,18702,17800,16853
경상남도 사천시,15910.5,15456,14970,14300,13697
경상남도 김해시,88426.5,85997,83712,82162,80789
경상남도 밀양시,10730.0,10537,10228,9831,9501
경상남도 거제시,46908.5,46367,45200,43614,42032
경상남도 양산시,48839.0,51312,53496,53505,52590
경상남도 의창구,33066.5,32262,32087,32191,32710
경상남도 성산구,34132.0,32386,31046,29725,28117
경상남도 마산합포구,20960.0,20911,20759,20259,19698
경상남도 마산회원구,27891.0,26762,25306,23862,22634
경상남도 진해구,32939.0,32752,32627,32021,30986
경상남도 의령군,2287.0,2159,2052,1925,1797
경상남도 함안군,8963.5,8659,8259,7835,7379
경상남도 창녕군,5861.5,5756,5652,5521,5282
경상남도 고성군,5628.5,5436,5180,4900,4621
경상남도 남해군,3466.0,3295,3122,2991,2918
경상남도 하동군,4271.5,4028,3843,3643,3361
경상남도 산청군,2983.0,2897,2806,2645,2436
경상남도 함양군,3955.0,3747,3601,3443,3272
경상남도 거창군,7268.5,7098,6931,6741,6468
경상남도 합천군,3614.0,3348,3137,2972,2812
