시군구별,사망률_2016,사망률_2017,사망률_2018,사망률_2019,사망률_2020
강원도 양양군,1086.2,1114.2,997.5,1087.0,1104.0
충청북도 충주시,775.7,805.2,805.3,800.1,804.5
충청북도 제천시,792.4,819.4,837.4,861.6,852.6
충청북도 청주시,499.5,507.9,520.4,515.8,527.4
충청북도 상당구,615.5,643.0,615.2,624.6,637.4
충청북도 서원구,496.2,519.8,524.9,543.7,561.2
충청북도 흥덕구,435.5,422.4,464.1,447.4,435.6
충청북도 청원구,481.8,486.3,504.5,478.3,513.2
충청북도 보은군,1270.2,1327.3,1447.7,1420.2,1638.8
충청북도 옥천군,1054.3,1087.5,1122.9,1215.5,1206.8
충청북도 영동군,1248.1,1199.7,1211.8,1326.5,1432.9
충청북도 진천군,701.3,720.9,725.0,694.7,652.8
충청북도 괴산군,1287.0,1383.0,1367.2,1246.8,1275.4
충청북도 음성군,847.4,868.2,878.0,918.5,953.0
충청북도 단양군,1149.6,1229.6,1187.3,1196.1,1132.3
충청북도 증평군,616.7,647.8,709.4,646.1,780.6
충청남도 동남구,539.1,560.6,560.5,559.7,576.0
충청남도 서북구,356.8,383.1,398.5,356.3,368.9
충청남도 공주시,905.2,998.9,1031.9,1042.4,1091.0
충청남도 보령시,906.5,913.4,977.1,922.6,997.5
충청남도 아산시,519.3,507.9,550.8,560.7,529.6
충청남도 서산시,631.4,693.7,667.2,638.9,690.1
충청남도 논산시,893.1,1032.6,1082.7,1036.5,1128.4
충청남도 계룡시,347.5,431.4,437.4,403.1,430.8
충청남도 당진시,655.7,681.3,705.9,710.5,754.1
충청남도 금산군,1125.9,1085.8,1205.4,1262.7,1327.5
충청남도 부여군,1217.7,1244.2,1285.0,1343.1,1375.5
충청남도 서천군,1448.5,1316.6,1377.2,1375.8,1385.6
충청남도 청양군,1373.1,1510.2,1461.9,1437.0,1528.9
충청남도 홍성군,929.4,921.9,913.8,974.9,911.1
충청남도 예산군,1078.4,1176.7,1159.4,1173.7,1264.2
충청남도 태안군,932.5,1006.3,1049.5,1046.9,1074.9
전라북도 완산구,495.3,494.8,528.6,544.3,552.4
전라북도 덕진구,487.1,502.6,507.1,492.0,487.9
전라북도 군산시,651.4,673.6,703.6,715.5,692.6
전라북도 익산시,683.9,706.0,695.5,750.5,731.4
전라북도 정읍시,1019.1,1101.9,1131.6,1026.5,1178.2
전라북도 남원시,1030.4,1051.8,1124.9,1045.5,1232.4
전라북도 김제시,1204.9,1189.4,1247.2,1188.4,1327.6
전라북도 완주군,868.1,852.2,851.4,854.7,879.9
전라북도 진안군,1391.7,1305.0,1253.5,1365.0,1238.1
전라북도 무주군,1273.1,1227.1,1382.2,1400.7,1458.3
전라북도 장수군,1238.2,1202.5,1200.1,1316.0,1241.1
전라북도 임실군,1291.4,1323.4,1312.6,1446.8,1525.4
전라북도 순창군,1280.0,1251.2,1396.4,1526.3,1410.7
전라북도 고창군,1152.7,1273.2,1227.8,1307.6,1352.2
전라북도 부안군,1230.0,1247.0,1295.8,1314.7,1343.5
전라남도 목포시,649.4,619.4,690.8,665.3,693.4
전라남도 여수시,675.0,716.7,715.3,678.5,735.0
전라남도 순천시,587.4,580.6,619.3,574.8,622.7
전라남도 나주시,876.6,897.1,881.3,898.8,897.9
전라남도 광양시,543.6,522.2,485.9,485.8,530.5
전라남도 담양군,1061.4,1154.1,1153.7,1245.0,1201.3
전라남도 곡성군,1249.8,1310.7,1374.7,1307.8,1546.0
전라남도 구례군,1284.8,1066.6,1211.6,1177.0,1358.5
전라남도 고흥군,1551.5,1712.3,1592.1,1569.3,1635.4
전라남도 보성군,1376.8,1397.3,1475.5,1408.0,1507.0
전라남도 화순군,977.4,987.3,972.7,946.4,1048.5
전라남도 장흥군,1285.2,1239.5,1309.4,1359.7,1347.1
전라남도 강진군,1201.5,1321.3,1259.3,1332.5,1319.0
전라남도 해남군,1177.5,1210.1,1296.6,1370.9,1410.2
전라남도 영암군,901.2,1008.9,1102.8,1054.1,1137.0
전라남도 무안군,816.4,907.0,908.7,890.4,888.6
전라남도 함평군,1409.4,1300.0,1468.0,1314.8,1539.0
전라남도 영광군,1128.1,1106.9,1160.8,1251.0,1238.4
전라남도 장성군,1080.4,1091.9,1145.8,1143.8,1183.1
전라남도 완도군,1091.2,1238.5,1215.5,1226.8,1289.8
전라남도 진도군,1438.6,1447.8,1482.7,1390.2,1279.2
전라남도 신안군,1228.1,1240.6,1391.9,1430.0,1466.8
경상북도 남구,564.7,540.0,591.0,624.0,614.7
경상북도 북구,573.2,579.5,612.9,589.8,632.1
경상북도 경주시,800.1,774.1,865.3,844.7,868.0
경상북도 김천시,857.1,909.3,959.6,921.9,966.4
경상북도 안동시,892.2,921.0,960.4,956.1,980.2
경상북도 구미시,365.3,394.1,410.4,401.4,428.1
경상북도 영주시,920.3,977.6,1012.0,1032.6,1023.7
경상북도 영천시,1073.6,1130.8,1068.6,1072.4,1183.2
경상북도 상주시,1217.1,1183.8,1264.5,1172.8,1253.0
경상북도 문경시,1064.7,1112.6,1180.2,1183.4,1202.5
경상북도 경산시,560.7,568.2,607.7,599.2,649.9
경상북도 군위군,1460.0,1452.7,1665.1,1340.9,1505.3
경상북도 의성군,1628.5,1677.0,1773.2,1686.2,1804.6
경상북도 청송군,1292.4,1409.2,1398.7,1446.8,1568.8
경상북도 영양군,1391.0,1349.8,1317.0,1694.7,1584.0
경상북도 영덕군,1393.7,1446.9,1451.3,1474.1,1534.9
경상북도 청도군,1317.9,1340.1,1424.8,1363.9,1554.0
경상북도 고령군,1087.9,1095.5,1165.1,1041.9,1317.7
경상북도 성주군,1221.9,1208.8,1280.9,1249.4,1274.2
경상북도 칠곡군,582.0,594.1,609.9,630.9,689.8
경상북도 예천군,1314.4,1389.7,1286.1,1091.8,1240.9
경상북도 봉화군,1318.2,1249.9,1473.8,1387.0,1540.1
경상북도 울진군,1126.7,1061.9,1099.7,1059.5,1190.7
경상북도 울릉군,637.8,714.8,781.5,701.2,696.8
경상남도 진주시,610.5,601.2,645.0,627.1,652.3
경상남도 통영시,688.3,685.6,763.2,755.3,813.6
경상남도 사천시,773.1,851.9,882.8,858.7,906.2
경상남도 김해시,414.3,434.6,463.7,453.2,466.2
경상남도 밀양시,1059.0,1020.7,1126.1,1107.1,1131.3
경상남도 거제시,408.9,439.0,422.1,441.1,455.5
경상남도 양산시,448.8,483.3,482.9,459.2,507.1
경상남도 의창구,477.1,499.9,510.5,489.4,513.5
경상남도 성산구,297.3,315.5,336.4,323.8,342.5
경상남도 마산합포구,729.8,743.6,771.1,757.5,806.5
경상남도 마산회원구,556.9,536.8,593.7,591.1,572.7
경상남도 진해구,493.5,500.2,521.1,522.8,543.9
경상남도 의령군,1555.4,1491.8,1514.4,1606.8,1520.6
경상남도 함안군,945.3,916.6,988.9,965.0,1003.1
경상남도 창녕군,1227.0,1124.9,1267.7,1279.5,1302.5
경상남도 고성군,1238.6,1217.2,1303.2,1209.0,1244.5
경상남도 남해군,1597.2,1605.6,1665.0,1613.2,1651.0
경상남도 하동군,1297.4,1332.4,1300.9,1283.3,1374.8
경상남도 산청군,1417.3,1347.5,1419.7,1424.2,1495.2
경상남도 함양군,1193.9,1402.1,1395.2,1318.4,1429.1
경상남도 거창군,981.0,1110.8,1155.1,1079.8,1159.8
경상남도 합천군,1507.0,1487.8,1691.1,1613.8,1664.4
