sigungu,2016,2017,2018,2019,2020,인구감소지수 분류,sido,pop,hp_bin,sig_cd
전라남도 강진군,1201.5,1321.3,1259.3,1332.5,1319.0,인구감소지역,전라남도,34647.5,1250.7~1527,46810
전라남도 해남군,1177.5,1210.1,1296.6,1370.9,1410.2,인구감소지역,전라남도,68999.5,1250.7~1527,46820
전라남도 영암군,901.2,1008.9,1102.8,1054.1,1137.0,인구감소지역,전라남도,53651.0,973.75~1250,46830
전라남도 함평군,1409.4,1300.0,1468.0,1314.8,1539.0,인구감소지역,전라남도,32098.0,1527.65~1805,46860
전라남도 영광군,1128.1,1106.9,1160.8,1251.0,1238.4,인구감소지역,전라남도,52970.0,973.75~1250,46870
전라남도 장성군,1080.4,1091.9,1145.8,1143.8,1183.1,인구감소지역,전라남도,44714.5,973.75~1250,46880
전라남도 완도군,1091.2,1238.5,1215.5,1226.8,1289.8,인구감소지역,전라남도,50007.0,1250.7~1527,46890
전라남도 진도군,1438.6,1447.8,1482.7,1390.2,1279.2,인구감소지역,전라남도,30721.5,1250.7~1527,46900
전라남도 신안군,1228.1,1240.6,1391.9,1430.0,1466.8,인구감소지역,전라남도,39200.5,1250.7~1527,46910
경상북도 안동시,892.2,921.0,960.4,956.1,980.2,인구감소지역,경상북도,158634.0,973.75~1250,47170
경상북도 영주시,920.3,977.6,1012.0,1032.6,1023.7,인구감소지역,경상북도,103452.0,973.75~1250,47210
경상북도 영천시,1073.6,1130.8,1068.6,1072.4,1183.2,인구감소지역,경상북도,101506.0,973.75~1250,47230
경상북도 상주시,1217.1,1183.8,1264.5,1172.8,1253.0,인구감소지역,경상북도,98240.5,1250.7~1527,47250
경상북도 문경시,1064.7,1112.6,1180.2,1183.4,1202.5,인구감소지역,경상북도,71266.5,973.75~1250,47280
경상북도 군위군,1460.0,1452.7,1665.1,1340.9,1505.3,인구감소지역,경상북도,23384.5,1250.7~1527,47720
경상북도 의성군,1628.5,1677.0,1773.2,1686.2,1804.6,인구감소지역,경상북도,51647.0,1527.65~1805,47730
경상북도 청송군,1292.4,1409.2,1398.7,1446.8,1568.8,인구감소지역,경상북도,25051.5,1527.65~1805,47750
경상북도 영양군,1391.0,1349.8,1317.0,1694.7,1584.0,인구감소지역,경상북도,16667.0,1527.65~1805,47760
경상북도 영덕군,1393.7,1446.9,1451.3,1474.1,1534.9,인구감소지역,경상북도,36484.0,1527.65~1805,47770
경상북도 청도군,1317.9,1340.1,1424.8,1363.9,1554.0,인구감소지역,경상북도,42278.5,1527.65~1805,47820
경상북도 고령군,1087.9,1095.5,1165.1,1041.9,1317.7,인구감소지역,경상북도,31646.5,1250.7~1527,47830
경상북도 성주군,1221.9,1208.8,1280.9,1249.4,1274.2,인구감소지역,경상북도,43399.5,1250.7~1527,47840
경상북도 봉화군,1318.2,1249.9,1473.8,1387.0,1540.1,인구감소지역,경상북도,31492.0,1527.65~1805,47920
경상북도 울진군,1126.7,1061.9,1099.7,1059.5,1190.7,인구감소지역,경상북도,48710.0,973.75~1250,47930
경상북도 울릉군,637.8,714.8,781.5,701.2,696.8,인구감소지역,경상북도,9184.5,696.8~973,47940
경상남도 밀양시,1059.0,1020.7,1126.1,1107.1,1131.3,인구감소지역,경상남도,104300.5,973.75~1250,48270
경상남도 의령군,1555.4,1491.8,1514.4,1606.8,1520.6,인구감소지역,경상남도,26832.0,1250.7~1527,48720
경상남도 함안군,945.3,916.6,988.9,965.0,1003.1,인구감소지역,경상남도,64502.0,973.75~1250,48730
경상남도 창녕군,1227.0,1124.9,1267.7,1279.5,1302.5,인구감소지역,경상남도,61341.5,1250.7~1527,48740
경상남도 고성군,1238.6,1217.2,1303.2,1209.0,1244.5,인구감소지역,경상남도,51428.0,973.75~1250,48820
경상남도 남해군,1597.2,1605.6,1665.0,1613.2,1651.0,인구감소지역,경상남도,43004.5,1527.65~1805,48840
경상남도 하동군,1297.4,1332.4,1300.9,1283.3,1374.8,인구감소지역,경상남도,45389.5,1250.7~1527,48850
경상남도 산청군,1417.3,1347.5,1419.7,1424.2,1495.2,인구감소지역,경상남도,34845.0,1250.7~1527,48860
경상남도 함양군,1193.9,1402.1,1395.2,1318.4,1429.1,인구감소지역,경상남도,39045.0,1250.7~1527,48870
경상남도 거창군,981.0,1110.8,1155.1,1079.8,1159.8,인구감소지역,경상남도,61478.0,973.75~1250,48880
경상남도 합천군,1507.0,1487.8,1691.1,1613.8,1664.4,인구감소지역,경상남도,44159.5,1527.65~1805,48890
