,2016,2021,(2021-2016)/2016
목포시,237739,218589,-9.499007937
여수시,288988,276762,-6.064484127
순천시,278548,281436,1.432539683
나주시,104376,116726,6.125992063
광양시,155580,150531,-2.504464286
담양군,47229,46180,-0.5203373016
곡성군,30400,27535,-1.421130952
구례군,27412,25235,-1.079861111
고흥군,67656,62762,-2.427579365
보성군,44469,39375,-2.526785714
화순군,65303,62624,-1.328869048
장흥군,40669,36547,-2.044642857
강진군,37753,33753,-1.984126984
해남군,75121,67166,-3.94593254
영암군,57045,52937,-2.037698413
무안군,82109,91107,4.463293651
함평군,34397,31274,-1.549107143
영광군,55618,51985,-1.802083333
장성군,46104,43365,-1.358630952
완도군,52668,48631,-2.002480159
진도군,32078,30066,-0.998015873
신안군,42652,38217,-2.199900794
포항시,516775,503852,-6.410218254
남구,244748,230801,-6.918154762
북구,272027,273051,0.5079365079
경주시,259452,251889,-3.751488095
김천시,142256,140239,-1.000496032
안동시,168798,156972,-5.866071429
구미시,419891,412581,-3.625992063
영주시,109247,101942,-3.623511905
영천시,100521,101888,0.6780753968
상주시,101799,95566,-3.091765873
문경시,74702,71154,-1.759920635
경산시,258037,268369,5.125
군위군,24171,22945,-0.6081349206
의성군,54014,50632,-1.677579365
청송군,26301,24539,-0.8740079365
영양군,17713,16320,-0.6909722222
영덕군,39052,35314,-1.854166667
청도군,43564,41891,-0.8298611111
고령군,34257,30626,-1.80109127
성주군,45205,42842,-1.172123016
칠곡군,123199,113822,-4.651289683
예천군,46166,55739,4.748511905
봉화군,33539,30762,-1.377480159
울진군,51738,47858,-1.924603175
울릉군,10001,8867,-0.5625
창원시,1063907,1032741,-15.4593254
의창구,252435,218027,-17.06746032
성산구,231571,251562,9.916170635
마산합포구,181797,181322,-0.2356150794
마산회원구,210791,186881,-11.86011905
진해구,187313,194949,3.787698413
진주시,346739,347097,0.1775793651
통영시,138160,125383,-6.337797619
사천시,114912,109953,-2.459821429
김해시,529422,537673,4.092757937
밀양시,108354,103525,-2.395337302
거제시,257183,241216,-7.920138889
양산시,317037,354726,18.69494048
의령군,28111,26322,-0.8874007937
함안군,68937,62547,-3.169642857
창녕군,63982,60129,-1.911210317
고성군,54703,50478,-2.095734127
남해군,45129,42266,-1.420138889
하동군,49622,43449,-3.062003968
산청군,36098,34360,-0.8621031746
함양군,40241,38310,-0.9578373016
거창군,63308,61073,-1.108630952
합천군,48026,42935,-2.525297619
제주시,470665,493096,11.1264881
서귀포시,170932,183663,6.314980159
