sigungu,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
전라남도 진도군,45880.5,45788.5,45847.5,45864.5,45903,45815,45700.5,45556.5,45377,44714.5,43636.5
전라남도 함평군,53794,53606.5,53404.5,53053.5,52756,52512,52081,51501.5,50784.5,50007,49051
전라남도 해남군,33337,33069,32811.5,32579.5,32312,31975,31635,31226,30714,30721.5,30477
전라남도 화순군,44374,43615.5,43531.5,43457.5,43033,42505,41916,41238.5,40349,39200.5,38280.5
경상북도 고령군,167083.5,167307.5,167464,167690,168085,168130,166672,163364,160242,158634,157300.5
경상북도 군위군,113237.5,113070.5,112321,110959,109530.5,108766.5,108119.5,106922,105273,103452,102053.5
경상북도 봉화군,102671,102036.5,100387.5,99873,99838.5,99759,99752.5,100320.5,101270.5,101506,101439.5
경상북도 성주군,104312,103606.5,102968.5,102337,101858.5,101307.5,100604.5,99877.5,99760,98240.5,95902.5
경상북도 영덕군,76474,75739.5,75225.5,75243,75288,74671,73433.5,72020,71490.5,71266.5,70757
경상북도 영양군,24311,24014,23969.5,23991,23966,23973,24025,23903,23715.5,23384.5,22981
경상북도 울릉군,57618.5,56748,55934.5,55028.5,54240,53670,53191.5,52673.5,52248,51647,50814.5
경상북도 울진군,26432.5,26323,26277,26265,26225.5,26152.5,25972,25666.5,25366,25051.5,24679.5
경상북도 의성군,18146,18026.5,18059.5,18055,17853,17613,17410.5,17236.5,16994,16667,16403.5
경상북도 청도군,40675,40141,39829.5,39504,39022,38744.5,38427.5,37967,37377.5,36484,35538
경상북도 청송군,44052,43862.5,43602.5,43593,43548,43325,43130,42883,42673,42278.5,41837.5
경상북도 안동시,34828,35171,35050.5,34901,34591.5,34194.5,33773.5,33129,32440.5,31646.5,30839
경상북도 영주시,45055.5,44995.5,44708.5,44652,44648,44765,44838.5,44577,44019.5,43399.5,42900
경상북도 영천시,33996.5,33692,33545,33595.5,33550,33304,33043,32704,32155.5,31492,30870.5
경상북도 문경시,51879,51608,51580.5,51718,51671,51480,51038.5,50195.5,49363.5,48710,48077.5
경상북도 상주시,10549.5,10524,10376,10161.5,10005.5,9878,9793,9724.5,9555.5,9184.5,8847
경상남도 거창군,108834.5,108008,107530.5,107071,106871,107173,107186.5,106389,105227.5,104300.5,103474.5
경상남도 고성군,29925.5,30015,29695,29140,28711.5,28159.5,27819,27602,27259.5,26832,26455.5
경상남도 남해군,66506,66662,67030,67694.5,68455.5,68548,68079,67145,65907.5,64502,63026
경상남도 산청군,61564.5,62214.5,62702,62976.5,63167,63408,63560.5,63262,62369.5,61341.5,60342.5
경상남도 의령군,56760,56619,56195,55720,55183.5,54578.5,53978,53252.5,52357.5,51428,50644.5
경상남도 창녕군,49474,48941.5,47438,46651,45966,45205,44594,44024.5,43515.5,43004.5,42400.5
경상남도 하동군,52454.5,52102,50188,49397.5,49443.5,49639.5,48933,47890,46756,45389.5,43882.5
경상남도 함안군,35286,35348,35492,35572,35647.5,35772,35918.5,35853,35389.5,34845,34377.5
경상남도 함양군,40794,40571,40386,40312,40128.5,39952,39870,39778,39519,39045,38444
경상남도 합천군,62871.5,62737.5,62766,62794.5,62826,62894.5,62656.5,62244.5,61957.5,61478,61002
경상남도 밀양시,50328.5,49939.5,49787.5,49887,49322,48109,47048.5,46005.5,45111.5,44159.5,43105
