행정구역(시군구)별,20~39세 여성 인구수,65세이상 인구수,소멸위험지수,2021년 총인구수,2011년 총인구수,인구성장률,2016년 총인구수,인구성장률
　　　울산-동구,"17,461","20,563",0.84914653,154745,170351,-0.960824,173739,-2.315454
　　　울산-북구,"27,642","18,818",1.46891274,218391,179383,1.967638,192594,2.514054
　　　울주군,"23,042","33,987",0.67795039,221507,201644,0.939504,218292,0.292457
　　　세종시,"50,047","35,973",1.39122397,362922,108285,12.094245,225992,9.473739
　　　장안구,"35,294","37,150",0.95004038,271954,289824,-0.636392,295512,-1.661496
　　　권선구,"52,689","42,241",1.24734263,364387,311409,1.571109,352354,0.671603
　　　팔달구,"25,970","27,138",0.95696072,176276,210014,-1.751237,195962,-2.117453
　　　영통구,"58,340","27,641",2.11063276,364691,262519,3.287289,336791,1.591787
　　　수정구,"32,607","38,142",0.85488438,236091,234443,0.070027,222394,1.195292
　　　중원구,"28,738","34,180",0.84076946,211010,252531,-1.796289,240380,-2.606315
　　　분당구,"67,771","61,257",1.10633887,478988,482125,-0.065268,499048,-0.820515
　　　의정부시,"60,722","70,897",0.85648194,457870,424665,0.752848,430060,1.253190
　　　만안구,"31,683","38,596",0.82088817,236800,261412,-0.988820,247009,-0.844220
　　　동안구,"41,960","37,856",1.10839761,307427,351476,-1.339054,345276,-2.322161
　　　부천시,"110,401","114,023",0.96823448,805444,864871,-0.711873,841815,-0.883332
　　　광명시,"37,735","41,712",0.90464375,293219,345837,-1.650481,338947,-2.898484
　　　평택시,"71,264","66,922",1.06487403,545438,417093,2.682799,459304,3.437537
　　　동두천시,"9,844","19,264",0.51100498,92448,93963,-0.162548,96054,-0.765284
　　　상록구,"46,991","40,677",1.15521056,348520,376247,-0.765517,374272,-1.425746
　　　단원구,"40,997","32,603",1.25744563,300184,332171,-1.012528,313107,-0.842955
　　　덕양구,"63,710","71,124",0.89575249,476065,389038,2.018763,439714,1.588599
　　　일산동구,"41,211","38,447",1.07189117,296306,271534,0.873072,286317,0.685897
　　　일산서구,"38,474","38,687",0.99449427,297636,287004,0.363769,298155,-0.034811
　　　과천시,"9,134","9,475",0.96401055,67547,71353,-0.548087,65577,0.591973
　　　구리시,"25,594","27,016",0.94734602,193029,193312,-0.014676,188082,0.519249
　　　남양주시,"86,216","103,587",0.83230521,719088,566952,2.377084,653087,1.925454
　　　오산시,"31,666","22,658",1.39756377,228790,187307,2.000561,206489,2.051153
　　　시흥시,"67,434","48,406",1.39309177,503246,398853,2.324852,396913,4.747245
　　　군포시,"35,847","36,996",0.96894259,269413,285528,-0.580928,284235,-1.071082
　　　의왕시,"21,983","22,717",0.96768940,162388,147394,0.968762,156037,0.797846
　　　하남시,"43,909","39,179",1.12071518,305067,147689,7.254245,187205,9.766510
　　　처인구,"31,420","38,329",0.81973180,257305,206677,2.191030,221954,2.955801
　　　기흥구,"56,818","57,924",0.98090601,438752,361945,1.924434,411008,1.306433
　　　수지구,"49,502","49,264",1.00483111,373221,313290,1.750415,344673,1.591492
　　　파주시,"58,870","66,281",0.88818817,471123,363978,2.580272,423422,2.135021
　　　이천시,"27,375","31,854",0.85938972,219616,202127,0.829846,206323,1.248708
　　　안성시,"20,492","33,512",0.61148245,187106,178051,0.496054,180167,0.755769
　　　김포시,"63,622","60,028",1.05987206,477869,246214,6.631376,354626,5.965458
　　　화성시,"120,932","78,892",1.53287406,868377,509185,5.338155,616121,6.863652
　　　광주시,"48,215","52,830",0.91264433,382528,255658,4.029599,318050,3.691870
　　　양주시,"26,178","37,383",0.70025145,231869,196892,1.635150,203597,2.600606
　　　포천시,"13,938","29,924",0.46576327,146913,156552,-0.635511,153344,-0.856867
　　　여주시,"10,754","25,000",0.43016000,111404,-,,110510,0.161235
　　　연천군,"3,664","11,517",0.31809499,42682,44434,-0.402394,45259,-1.172499
　　　가평군,"5,118","16,506",0.31006907,61765,58375,0.564496,61510,0.082743
　　　양평군,"9,928","31,198",0.31822553,119105,96770,2.076736,108835,1.803542
　　　춘천시,"34,029","51,382",0.66227473,281863,269019,0.466374,277006,0.347604
　　　원주시,"43,242","54,704",0.79046322,354049,315197,1.162375,333030,1.224085
　　　강릉시,"21,293","46,078",0.46209688,211852,216107,-0.198858,212434,-0.054916
　　　동해시,"7,962","18,477",0.43091411,89744,94727,-0.540435,92855,-0.681563
　　　태백시,"3,155","10,425",0.30263789,41107,49438,-1.845430,46242,-2.354444
　　　속초시,"8,098","16,144",0.50157953,82143,83311,-0.141190,81180,0.235854
　　　삼척시,"5,583","16,595",0.33639650,63913,71447,-1.114261,69482,-1.670755
　　　홍천군,"5,283","18,515",0.28533621,68426,69294,-0.126128,69655,-0.356178
　　　횡성군,"3,164","13,992",0.22609348,46184,43987,0.487506,45548,0.277334
　　　영월군,"2,562","11,483",0.22306888,37917,39709,-0.461657,39573,-0.854950
　　　평창군,"2,711","11,987",0.22616168,41061,43175,-0.502029,42993,-0.919338
　　　정선군,"2,419","10,179",0.23759701,35811,39708,-1.032850,38105,-1.241546
　　　철원군,"3,973","10,155",0.39123584,43754,48020,-0.930346,47998,-1.851318
　　　화천군,"2,275","5,628",0.40422886,24399,24471,-0.029262,26465,-1.625241
　　　양구군,"2,106","4,761",0.44234405,21912,21919,-0.003194,23899,-1.736500
　　　인제군,"3,046","6,675",0.45632959,31809,31708,0.031803,32787,-0.605666
　　　고성군,"1,985","8,054",0.24639930,26846,29853,-1.061871,29867,-2.133120
　　　양양군,"1,993","8,451",0.23583008,27751,27761,-0.003603,27160,0.430171
　　　상당구,"22,507","30,110",0.74749253,191016,239952,-2.280817,173846,1.883747
　　　서원구,"23,597","30,106",0.78378064,192837,-,,217269,-2.385819
　　　흥덕구,"38,010","30,378",1.25123445,265450,415124,-4.471496,252102,1.031855
　　　청원구,"25,753","25,419",1.01312011,193641,-,,185559,0.852663
　　　충주시,"20,655","42,647",0.48431308,208716,207153,0.075192,206785,0.185946
　　　제천시,"12,358","29,739",0.41554861,131575,136468,-0.365133,135290,-0.556948
　　　보은군,"1,887","11,290",0.16713906,31930,34490,-0.771391,33931,-1.215679
　　　옥천군,"3,629","15,259",0.23782686,50038,53246,-0.621400,51882,-0.723591
　　　영동군,"3,272","15,106",0.21656958,46383,50168,-0.784344,50237,-1.596376
　　　진천군,"9,014","14,035",0.64225151,84099,62150,3.024519,68447,4.118845
　　　괴산군,"2,306","13,298",0.17337194,38541,36697,0.490146,38541,0.000000
　　　음성군,"7,942","20,201",0.39312410,92015,90456,0.170881,96182,-0.885812
　　　단양군,"1,764","9,103",0.19372734,28545,31349,-0.937021,30273,-1.175509
　　　증평군,"3,847","6,570",0.58554033,36463,33566,0.827707,36809,-0.188889
　　　동남구,"31,676","37,847",0.83694877,255095,248323,0.269077,258225,-0.243905
　　　서북구,"62,058","35,752",1.73577702,400198,312796,2.464086,349750,2.694791
