시군구,소멸위험지수,인구성장률 2011-2021,인구성장률 2016-2021
　　　원주시,0.79046322,1.16237500,1.22408500
　　　강릉시,0.46209688,-0.19885800,-0.05491600
　　　동해시,0.43091411,-0.54043500,-0.68156300
　　　태백시,0.30263789,-1.84543000,-2.35444400
　　　속초시,0.50157953,-0.14119000,0.23585400
　　　삼척시,0.33639650,-1.11426100,-1.67075500
　　　홍천군,0.28533621,-0.12612800,-0.35617800
　　　횡성군,0.22609348,0.48750600,0.27733400
　　　영월군,0.22306888,-0.46165700,-0.85495000
　　　평창군,0.22616168,-0.50202900,-0.91933800
　　　정선군,0.23759701,-1.03285000,-1.24154600
　　　철원군,0.39123584,-0.93034600,-1.85131800
　　　화천군,0.40422886,-0.02926200,-1.62524100
　　　양구군,0.44234405,-0.00319400,-1.73650000
　　　인제군,0.45632959,0.03180300,-0.60566600
　　　고성군,0.24639930,-1.06187100,-2.13312000
　　　양양군,0.23583008,-0.00360300,0.43017100
　　　상당구,0.74749253,-2.28081700,1.88374700
　　　서원구,0.78378064,,-2.38581900
　　　흥덕구,1.25123445,-4.47149600,1.03185500
　　　청원구,1.01312011,,0.85266300
　　　충주시,0.48431308,0.07519200,0.18594600
　　　제천시,0.41554861,-0.36513300,-0.55694800
　　　보은군,0.16713906,-0.77139100,-1.21567900
　　　옥천군,0.23782686,-0.62140000,-0.72359100
　　　영동군,0.21656958,-0.78434400,-1.59637600
　　　진천군,0.64225151,3.02451900,4.11884500
　　　괴산군,0.17337194,0.49014600,0.00000000
　　　음성군,0.39312410,0.17088100,-0.88581200
　　　단양군,0.19372734,-0.93702100,-1.17550900
　　　증평군,0.58554033,0.82770700,-0.18888900
　　　동남구,0.83694877,0.26907700,-0.24390500
　　　서북구,1.73577702,2.46408600,2.69479100
　　　공주시,0.33158838,-1.82169000,-1.21643600
　　　보령시,0.30254077,-0.70856600,-0.93647100
　　　아산시,0.89912169,1.73376300,1.32264300
　　　서산시,0.52712003,0.91120100,0.67733300
　　　논산시,0.31199154,-0.94705500,-1.29402500
　　　계룡시,0.84504913,0.01748800,0.43023600
　　　당진시,0.50658081,,0.11331100
　　　금산군,0.20385233,-0.97206700,-1.38250300
　　　부여군,0.18160501,-1.39599600,-1.73977300
　　　서천군,0.15779528,-1.51278800,-1.86738300
　　　청양군,0.17305620,-0.52088100,-1.17395800
　　　홍성군,0.38035478,1.26932200,0.54766600
　　　예산군,0.22162706,-1.11474700,-1.20377500
　　　태안군,0.21086879,-0.16029400,-0.56165200
　　　완산구,0.78576520,-0.63659600,-1.46969100
　　　덕진구,0.90101880,1.21714700,2.09062900
　　　군산시,0.53324621,-0.25698100,-0.79803100
　　　익산시,0.51775137,-0.94718000,-1.42877000
　　　정읍시,0.28596311,-1.17579500,-1.38838100
　　　남원시,0.27510927,-0.88096200,-1.05366600
　　　김제시,0.23039643,-1.33726200,-1.47742400
　　　완주군,0.38084489,0.76880600,-0.82783500
　　　진안군,0.17951012,-1.04054700,-0.69067700
　　　무주군,0.18720643,-0.72465700,-0.95697500
　　　장수군,0.18502955,-0.61187800,-1.34494000
　　　임실군,0.16518125,-1.25802000,-2.22954500
　　　순창군,0.19345428,-0.86337300,-1.90062300
　　　고창군,0.18372599,-1.11351200,-2.19197400
　　　부안군,0.20218280,-1.44705700,-1.96684000
　　　목포시,0.63153757,-0.99670400,-1.42302800
　　　여수시,0.51216042,-0.48440700,-0.74147500
　　　순천시,0.72973783,0.35816900,0.25056400
　　　나주시,0.48433625,2.69338800,2.80751300
　　　광양시,0.81200663,0.21629100,-0.43212800
　　　담양군,0.25081231,-0.30964200,-0.33730700
　　　곡성군,0.17674533,-1.28065100,-1.86970000
　　　구례군,0.18155263,-0.70313800,-1.36655600
　　　고흥군,0.12354237,-1.43981500,-1.42241600
　　　보성군,0.15021514,-1.87131300,-2.27643000
　　　화순군,0.31736226,-0.98525400,-0.89329000
　　　장흥군,0.19570609,-1.31644800,-2.46440200
　　　강진군,0.19408195,-1.95194500,-2.21891800
　　　해남군,0.20745158,-1.47712700,-2.09769600
　　　영암군,0.28920888,-1.17434500,-1.49343700
　　　무안군,0.53658675,1.68490200,1.55456400
　　　함평군,0.16087105,-1.37426300,-1.73465700
　　　영광군,0.28263260,-0.79366600,-1.19606200
　　　장성군,0.24439713,-0.50146200,-0.97435200
　　　완도군,0.19868139,-0.92301400,-1.36362300
　　　진도군,0.20105641,-0.89695600,-0.95964100
　　　신안군,0.13772581,-1.47713100,-2.09362200
　　　남구,0.54437749,-0.92697900,-1.23003600
　　　북구,0.58866818,0.40488000,0.03464300
　　　경주시,0.39523048,-0.50392300,-0.50489800
　　　김천시,0.40303986,0.32622200,-0.07988300
　　　안동시,0.37298499,-0.60335700,-1.33159000
　　　구미시,1.32309938,0.14273800,-0.23841400
　　　영주시,0.27424237,-1.03990200,-1.27412400
　　　영천시,0.28302564,-0.12067100,0.33410600
　　　상주시,0.21603066,-0.84054400,-1.09656800
　　　문경시,0.24243119,-0.77699300,-1.07680700
　　　경산시,0.69012561,0.95382900,0.68214400
　　　군위군,0.11436643,-0.56261100,-0.84520800
　　　의성군,0.12161911,-1.25661900,-1.09344900
　　　청송군,0.13908656,-0.68621400,-1.15943700
　　　영양군,0.14701648,-1.00955400,-1.42285100
　　　영덕군,0.14863388,-1.35011100,-1.72772500
　　　청도군,0.14471243,-0.51577700,-0.69873500
　　　고령군,0.19685472,-1.21641500,-2.06569400
　　　성주군,0.19793289,-0.49023200,-0.85109500
　　　칠곡군,0.62164344,-0.38163800,-1.43309900
　　　예천군,0.26041114,1.77928400,4.16433000
　　　봉화군,0.13805745,-0.96456500,-1.51752900
　　　울진군,0.26488095,-0.76099800,-1.36758200
　　　울릉군,0.27658662,-1.76000000,-2.20463300
　　　진주시,0.66846505,0.38820500,0.14818900
　　　통영시,0.43287687,-0.97217600,-1.74296300
　　　사천시,0.38097247,-0.29138100,-0.77268900
　　　김해시,1.00366851,0.69016500,0.43931900
　　　밀양시,0.25742951,-0.50503200,-0.70238300
　　　거제시,0.96194358,0.55987000,-1.02299800
　　　양산시,0.83828967,2.96649800,2.70005600
　　　의창구,0.88712169,-1.14768600,-2.41676600
　　　성산구,1.40420489,-0.04489800,1.26467600
　　　마산합포구,0.47169738,-0.39753600,-0.32047600
　　　마산회원구,0.56784300,-1.68403000,-2.19887700
　　　진해구,0.74878888,0.86904700,0.78609500
　　　의령군,0.16076431,-1.23246900,-1.24841400
　　　함안군,0.29118422,-0.53744800,-1.67973800
　　　창녕군,0.21590260,-0.20048700,-0.99106700
　　　고성군,0.19469926,-1.14001200,-1.49618800
　　　남해군,0.14372929,-1.54287100,-1.28095100
　　　하동군,0.15862268,-1.78430500,-2.46542600
　　　산청군,0.14926931,-0.26084000,-0.79526400
　　　함양군,0.18707688,-0.59332400,-0.76952200
　　　거창군,0.27378601,-0.30186300,-0.61104100
　　　합천군,0.13171363,-1.54932500,-2.19660500
　　　제주시,0.84554104,1.62046200,1.16523100
　　　서귀포시,0.51641266,1.76972000,1.75680500
