인구수,사망률,고령화비율,전체 가구수,산림면적(ha),고용률,경제활동인구,유소년비율,조출생률,1인 가구비율,터널수,만명당 매장 수,만명 당 의료기관 수,만명당 3차병원수,만명당 2차병원 수,만명당 1차병원 수,만명당 요양병원 수,만먕당 한의원 수,1차산업비율,2차산업비율,3차산업비율,ktx거리,빈집비율,산지면적/도시면적,재정자립도,연평균인구증감률
45389.5,1374.8,33.57164102,19600,48542,70.3,51,7.404796263,2.996287688,0.3608163265,10,0.4406305423,14.76112317,0,0,0.4406305423,0.4406305423,2.423467983,48.01,9.76,42.03,26.3124,13.5,27.6814991,8,-2.5314
64502,1003.1,24.19614896,27594,20927,64.7,72.2,11.43995535,3.209202815,0.320576937,16,0.6201358097,8.991969241,0,0,0.4651018573,0.4651018573,1.860407429,24.4,28.07,47.25,16.0169,12.3,5.339078832,16.8,-1.7709
39045,1429.1,33.13868613,17501,55577,67.6,45.8,8.380074273,2.689204764,0.3816353351,28,0.5122294788,13.83019593,0,0,0.2561147394,0,2.561147394,38.77,12.78,48.68,35.0561,17,28.66079118,10,-0.7292
44159.5,1664.4,38.90895504,20322,70669,66.8,49.6,6.367825723,2.423034681,0.3975986615,25,0.4529036787,15.17227324,0,0,0.6793555181,0.4529036787,2.943873912,44.83,10.75,44.42,46.4028,20.5,30.01329318,8.8,-2.1617
31646.5,1317.7,30.79013477,13917,24367,69,37.9,7.887128118,3.159907099,0.336710498,31,0.6319814197,12.63962839,0,0,0.3159907099,0.3159907099,2.843916389,34.4,22.4,43.2,30.5452,13.2,7.503610614,11.7,-2.1839
23384.5,1505.3,39.65447198,10850,46147,70.6,28.7,4.999037824,2.523038765,0.3788940092,18,0.427633689,13.25664436,0,0,0,0,2.138168445,48.76,12.01,39.22,37.947,11.9,63.68617168,7.4,-0.9601
71266.5,1202.5,29.55806725,30839,70256,60.6,75.9,9.304511938,4.588411105,0.3470281138,23,0.5612735296,12.48833603,0,0.1403183824,0.2806367648,0.1403183824,2.525730883,28.07,13.9,58.03,43.5487,12.1,18.53681189,11.3,-1.1218
31492,1540.1,35.8503747,14189,96412,73,39.1,7.33519624,3.429442398,0.3582352527,1,0.6350819256,9.843769846,0,0,0.3175409628,0.3175409628,1.270163851,49.48,7.99,42.53,13.2889,13.6,101.6500258,6.2,-1.5605
98240.5,1253,30.46197851,44043,82924,66.6,113.7,9.004432999,3.644118261,0.3661875894,42,0.5089550644,12.31671256,0,0.2035820257,0,0.3053730386,2.544775322,43.49,13.01,43.58,33.1809,13.4,16.50333952,8.4,-1.142
43399.5,1274.2,31.3943709,18713,41109,68.7,50.4,7.000080646,4.331847141,0.3378400043,6,0.4608348022,12.90337446,0,0,0.2304174011,1.152087006,2.534591412,60.36,11.87,27.57,23.4457,9.4,38.84363897,12.2,-1.0056
