소재지(시군구)별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
소재지(시군구)별(2),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명)
장흥군,42552,42672,43004,43190,43513,40669,40136,39312,38563,37800,36547
강진군,41599,40241,40079,39861,38758,37753,36868,36144,35286,34597,33753
해남군,78346,78150,77684,76981,76194,75121,73604,71901,70354,68806,67166
영암군,60139,59997,59061,58852,58137,57045,55616,54731,54593,53699,52937
무안군,75718,75741,79367,81696,82236,82109,82872,81991,81105,86132,91107
함평군,36134,35780,35610,35090,34876,34397,34328,33420,32861,32050,31274
영광군,56863,57224,57617,56833,56267,55618,54774,54127,53852,53099,51985
장성군,46245,46289,46292,46273,46360,46104,46111,45795,45739,44464,43365
완도군,54037,53871,53619,53174,53014,52668,52109,51477,50689,49916,48631
진도군,33502,33208,32998,32746,32476,32078,31765,31219,30715,31227,30066
신안군,44355,43898,44162,43747,43294,42652,42070,41263,40274,38938,38217
소계,2699195,2698353,2699440,2700794,2702826,2700398,2691706,2676831,2665836,2639422,2626609
경상북도,0,-,-,-,-,-,-,-,-,-,-
포항시,517088,518913,519467,519368,519584,516775,513832,510013,507025,502916,503852
경주시,265488,264091,263283,261535,259773,259452,257903,256864,255402,253502,251889
김천시,136185,135504,135259,135456,140132,142256,142908,141104,141229,140548,140239
안동시,168157,168302,168461,168697,169221,168798,166272,162180,160052,158907,156972
구미시,413446,416949,419428,420320,419915,419891,421799,421494,419742,416328,412581
영주시,114148,113547,112625,110780,109735,109247,108371,106801,105067,103119,101942
영천시,104182,101798,100778,100689,100648,100521,100615,101595,102470,102015,101888
상주시,104685,104182,103346,102892,102374,101799,100947,100297,100688,97228,95566
문경시,76727,75899,75664,75911,75784,74702,73294,71874,72242,71406,71154
경산시,243684,246358,248805,253968,256888,258037,259485,261093,263185,263728,268369
군위군,24268,24119,24172,24170,24126,24171,24215,23919,23843,23256,22945
의성군,57744,57043,56064,55212,54477,54014,53474,52944,52595,51724,50632
청송군,26569,26481,26470,26453,26384,26301,26006,25678,25416,25044,24539
영양군,18241,18208,18297,18197,17898,17713,17479,17356,16993,16692,16320
영덕군,40794,40257,40142,39586,39191,39052,38529,38108,37361,36313,35314
청도군,44298,43968,43788,43993,43724,43564,43346,43057,42910,42263,41891
고령군,35455,35343,35198,35033,34594,34257,33768,32969,32373,31361,30626
성주군,45640,45127,45067,44981,45029,45205,45138,44672,44015,43414,42842
칠곡군,118838,119786,121182,122058,122829,123199,120864,118828,117047,114758,113822
예천군,46579,46027,45573,45104,44674,46166,49253,53274,55100,55613,55739
봉화군,34192,33934,33894,34023,33808,33539,33259,32843,32150,31494,30762
울진군,52045,51844,51953,52104,51885,51738,50974,50036,49314,48716,47858
울릉군,10742,10673,10524,10264,10153,10001,9975,9832,9617,9077,8867
소계,3308765,3319314,3333820,3350257,3364702,3373871,3380404,3373988,3362553,3340216,3314183
경상남도,0,-,-,-,-,-,-,-,-,-,-
창원시,1091881,1091471,1083731,1075168,1070064,1063907,1057032,1053601,1044740,1036738,1032741
마산시,0,-,-,-,-,-,-,-,-,-,-
진주시,335502,337314,337071,340241,344426,346739,346681,345987,347334,348096,347097
진해시,0,-,-,-,-,-,-,-,-,-,-
