sigungu,2011.4/4,2012.4/4,2013.4/4,2014.4/4,2015.4/4,2016.4/4,2017.4/4,2018.4/4,2019.4/4,2020.4/4,2021.4/4
부산광역시 동구,3,3,3,3,3,3,3,3,3,3,3
부산광역시 서구,1,1,1,1,1,1,1,1,1,1,2
부산광역시 영도구,2,2,2,2,2,2,2,2,2,2,2
대구광역시 남구,0,0,0,0,0,0,0,1,1,1,2
대구광역시 서구,1,1,1,1,1,1,1,1,1,1,1
인천광역시 강화군,0,0,0,0,0,0,0,1,1,1,1
인천광역시 옹진군,0,0,0,0,0,0,0,0,0,0,0
경기도 가평군,0,0,0,0,0,0,0,0,0,0,0
경기도 연천군,0,0,0,0,0,0,0,0,0,0,0
강원도 고성군,0,0,0,0,0,0,0,0,0,0,0
강원도 양구군,0,0,0,0,0,0,0,0,0,0,0
강원도 양양군,0,0,0,0,0,0,0,0,0,0,0
강원도 영월군,1,1,1,1,1,1,1,1,1,1,1
강원도 정선군,0,0,0,0,0,0,0,0,0,0,0
강원도 철원군,1,1,1,1,0,0,0,0,0,0,0
강원도 평창군,0,0,0,0,0,0,0,0,0,0,0
강원도 홍천군,1,1,1,1,1,1,1,1,1,1,1
강원도 화천군,0,0,0,0,0,0,0,0,0,0,0
강원도 횡성군,0,0,0,0,0,0,0,0,0,0,0
강원도 태백시,1,1,1,1,1,1,1,1,1,1,1
강원도 삼척시,1,1,1,1,1,1,1,1,1,1,1
충청북도 괴산군,0,0,0,0,0,0,0,0,0,0,0
충청북도 단양군,0,0,0,0,0,0,0,0,0,0,0
충청북도 보은군,0,0,0,0,0,0,0,0,0,0,0
충청북도 영동군,0,0,0,0,0,0,0,0,0,0,0
충청북도 옥천군,1,1,1,1,1,1,1,1,1,1,1
충청북도 제천시,2,2,2,2,2,2,2,2,2,2,2
충청남도 금산군,0,0,0,0,0,0,0,0,0,0,0
충청남도 부여군,0,0,0,0,0,0,0,0,0,0,0
충청남도 서천군,0,0,0,0,0,0,0,0,0,0,0
충청남도 예산군,1,1,1,1,1,1,1,1,1,1,1
충청남도 청양군,0,0,0,0,0,0,0,0,0,0,0
충청남도 태안군,0,0,0,0,0,0,0,0,0,0,0
충청남도 공주시,1,1,1,1,1,1,1,1,1,1,1
충청남도 보령시,1,1,1,1,1,1,1,1,1,1,1
충청남도 논산시,1,1,1,1,1,1,1,1,1,1,1
전라북도 고창군,1,1,1,1,1,1,1,1,1,1,1
전라북도 무주군,0,0,0,0,0,0,0,0,0,0,0
전라북도 부안군,1,1,1,1,1,1,1,1,1,1,1
전라북도 순창군,0,0,0,0,0,0,0,0,0,0,0
전라북도 임실군,0,0,0,0,0,0,0,0,0,0,0
전라북도 장수군,0,0,0,0,0,0,0,0,0,0,0
전라북도 진안군,0,0,0,0,0,0,0,0,0,0,0
전라북도 남원시,2,2,2,2,1,1,1,1,1,1,1
전라북도 정읍시,1,1,1,1,1,1,1,1,1,1,1
전라북도 김제시,1,0,0,0,0,0,0,0,0,0,0
전라남도 강진군,0,0,0,0,0,0,0,0,0,0,0
전라남도 고흥군,2,2,2,2,2,2,2,2,1,1,1
전라남도 곡성군,0,0,0,0,0,0,0,0,0,0,0
전라남도 구례군,0,0,0,0,0,0,0,0,0,0,0
전라남도 담양군,0,0,0,0,0,0,0,0,0,0,0
전라남도 보성군,0,0,0,0,0,0,0,0,0,0,0
전라남도 신안군,0,0,0,0,0,0,0,0,0,0,0
전라남도 영광군,1,1,1,2,2,2,2,2,2,2,2
전라남도 영암군,0,0,0,0,0,0,0,0,0,0,0
전라남도 완도군,0,0,0,0,0,0,0,0,0,0,0
전라남도 장성군,0,0,0,0,0,0,0,0,0,0,0
전라남도 장흥군,1,1,1,1,1,1,1,1,1,1,1
전라남도 진도군,0,0,0,0,0,0,0,0,0,0,0
전라남도 함평군,0,0,0,0,0,0,0,0,0,0,0
전라남도 해남군,1,1,1,1,1,2,2,2,2,2,2
전라남도 화순군,1,0,0,0,0,0,0,0,0,0,0
경상북도 고령군,0,0,0,0,0,0,0,0,0,0,0
경상북도 군위군,0,0,0,0,0,0,0,0,0,0,0
경상북도 봉화군,0,0,0,0,0,0,0,0,0,0,0
경상북도 성주군,0,0,0,0,0,0,0,0,0,0,0
경상북도 영덕군,0,0,0,0,0,0,0,0,0,0,0
경상북도 영양군,0,0,0,0,0,0,0,0,0,0,0
경상북도 울릉군,0,0,0,0,0,0,0,0,0,0,0
경상북도 울진군,0,0,0,0,0,0,0,0,0,0,0
경상북도 의성군,0,0,0,0,0,0,0,0,0,0,0
경상북도 청도군,0,0,0,0,0,0,0,0,0,0,0
경상북도 청송군,0,0,0,0,0,0,0,0,0,0,0
경상북도 안동시,3,3,3,3,3,3,3,3,3,3,3
경상북도 영주시,0,0,0,0,0,0,0,1,1,1,1
경상북도 영천시,1,1,1,1,1,1,1,1,1,1,1
경상북도 문경시,1,1,1,1,1,1,1,1,1,1,1
경상북도 상주시,2,2,2,2,2,2,2,2,2,2,2
