sigungu,2011.4/4,2012.4/4,2013.4/4,2014.4/4,2015.4/4,2016.4/4,2017.4/4,2018.4/4,2019.4/4,2020.4/4,2021.4/4
전라북도 무주군,0,0,0,0,0,0,0,0,0,0,0
전라북도 부안군,2,2,2,4,5,5,5,4,5,5,4
전라북도 순창군,1,1,1,1,1,1,1,1,1,1,1
전라북도 임실군,1,1,1,1,1,1,1,1,1,1,1
전라북도 장수군,0,0,0,0,0,0,0,0,0,0,0
전라북도 진안군,1,1,1,1,2,2,2,2,2,2,2
전라북도 남원시,2,2,2,2,2,2,2,2,2,2,1
전라북도 정읍시,6,6,6,6,5,5,4,4,4,4,3
전라북도 김제시,7,8,7,8,8,6,8,9,8,8,4
전라남도 강진군,2,3,3,3,3,3,3,2,2,1,1
전라남도 고흥군,2,2,2,2,2,2,2,2,3,3,3
전라남도 곡성군,1,1,1,1,1,1,1,1,1,1,1
전라남도 구례군,1,1,1,1,1,1,1,1,1,1,1
전라남도 담양군,5,5,5,4,4,4,3,2,2,2,1
전라남도 보성군,2,2,2,2,2,2,2,2,2,2,2
전라남도 신안군,2,2,2,3,3,2,2,2,2,2,2
전라남도 영광군,2,2,2,1,1,1,0,0,0,0,0
전라남도 영암군,3,3,3,3,2,2,2,2,2,2,2
전라남도 완도군,1,1,1,1,1,1,1,1,1,1,1
전라남도 장성군,3,3,2,2,2,2,2,2,2,2,2
전라남도 장흥군,1,1,1,1,1,1,1,1,1,2,2
전라남도 진도군,2,2,2,2,2,2,1,2,2,2,2
전라남도 함평군,2,2,2,2,2,2,2,2,2,2,2
전라남도 해남군,4,4,4,4,4,3,2,2,2,2,2
전라남도 화순군,4,4,4,4,3,3,3,3,3,3,3
경상북도 고령군,1,1,1,1,1,1,1,1,1,1,1
경상북도 군위군,1,1,1,1,1,1,0,0,0,0,0
경상북도 봉화군,1,1,1,1,1,1,1,1,1,1,1
경상북도 성주군,1,1,1,2,2,2,2,2,2,2,1
경상북도 영덕군,3,2,1,1,1,1,1,1,1,1,1
경상북도 영양군,1,1,1,1,1,1,1,1,1,1,1
경상북도 울릉군,0,0,0,0,0,0,0,0,0,0,0
경상북도 울진군,2,2,2,2,2,2,2,1,1,1,1
경상북도 의성군,4,5,6,7,6,5,5,5,5,4,3
경상북도 청도군,3,3,3,4,4,4,4,4,4,3,2
경상북도 청송군,1,1,1,1,1,1,1,1,1,1,0
경상북도 안동시,5,5,6,6,6,6,5,5,5,6,3
경상북도 영주시,4,5,6,6,6,6,6,6,6,6,4
경상북도 영천시,3,3,3,3,3,3,3,2,2,3,1
경상북도 문경시,1,1,1,1,2,2,2,2,2,2,2
경상북도 상주시,1,1,2,1,1,1,1,1,1,1,0
경상남도 거창군,3,3,3,3,3,3,3,3,2,3,3
경상남도 고성군,3,3,3,3,3,3,3,3,3,3,2
경상남도 남해군,1,1,1,1,1,1,1,1,1,1,1
경상남도 산청군,0,0,0,0,0,0,0,0,0,0,0
경상남도 의령군,1,2,3,3,2,2,2,2,2,2,1
경상남도 창녕군,4,4,4,4,4,4,4,4,4,4,2
경상남도 하동군,2,2,2,2,2,2,2,3,3,3,2
경상남도 함안군,3,3,3,3,3,3,3,3,3,4,3
경상남도 함양군,1,1,1,1,1,1,1,1,1,1,1
경상남도 합천군,2,2,3,3,3,3,3,3,3,2,3
경상남도 밀양시,4,6,6,6,7,9,9,9,8,9,8
