"행정구역_시군구_별__성별_인구수_20221213155636_분석(전년_대비_증감,증감률)",,,,,,,,,,,,,,,,,,
행정구역(시군구)별,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
행정구역(시군구)별,총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
행정구역(시군구)별,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
태안군,63900,416,0.65528322,63932,32,0.05007825,63238,-694,-1.08552837,62743,-495,-0.7827572,62214,-529,-0.84312194,61526,-688,-1.10586042
전주시 완산구,361845,-3760,-1.02843232,359012,-2833,-0.78293192,345065,-13947,-3.88482836,338839,-6226,-1.80429774,339718,879,0.25941524,335804,-3914,-1.15213206
전주시 덕진구,289899,3222,1.12391298,289952,53,0.01828223,306026,16074,5.54367619,315555,9529,3.11378772,317714,2159,0.68419135,321465,3751,1.18062157
군산시,277551,-847,-0.30424069,274997,-2554,-0.92019124,272645,-2352,-0.85528206,270131,-2514,-0.92207816,267859,-2272,-0.84107341,265304,-2555,-0.95386005
익산시,300479,-1582,-0.52373527,300187,-292,-0.09717817,294062,-6125,-2.04039482,287771,-6291,-2.13934476,282276,-5495,-1.90950443,278113,-4163,-1.47479772
정읍시,115173,-804,-0.6932409,113776,-1397,-1.2129579,112169,-1607,-1.41242441,110541,-1628,-1.4513814,108508,-2033,-1.83913661,106487,-2021,-1.86253548
남원시,84188,-668,-0.78721599,83281,-907,-1.07735069,82554,-727,-0.87294821,81441,-1113,-1.34820845,80662,-779,-0.95652067,79431,-1231,-1.52612135
김제시,87782,-939,-1.058374,86926,-856,-0.97514297,85331,-1595,-1.83489405,83895,-1436,-1.68285852,82450,-1445,-1.72239108,80913,-1537,-1.8641601
완주군,95480,177,0.18572343,95975,495,0.51843318,94444,-1531,-1.59520709,92220,-2224,-2.35483461,91609,-611,-0.66254609,91142,-467,-0.50977524
진안군,26069,-134,-0.51139183,26271,202,0.7748667,25963,-308,-1.17239542,25697,-266,-1.02453492,25394,-303,-1.17912597,24987,-407,-1.6027408
무주군,24949,-271,-1.07454401,24809,-140,-0.56114474,24589,-220,-0.88677496,24303,-286,-1.16312172,24036,-267,-1.0986298,23748,-288,-1.1982027
장수군,23628,351,1.50792628,23003,-625,-2.64516675,23221,218,0.94770247,22441,-780,-3.35902847,22085,-356,-1.58638207,21695,-390,-1.76590446
임실군,30197,-74,-0.24445839,30162,-35,-0.11590555,30072,-90,-0.2983887,28902,-1170,-3.89066241,27314,-1588,-5.49442945,26730,-584,-2.13809768
순창군,29949,-299,-0.98849511,29698,-251,-0.83809142,29209,-489,-1.64657553,28382,-827,-2.83131911,27810,-572,-2.01536185,26855,-955,-3.43401654
고창군,60597,551,0.91762982,60472,-125,-0.20628084,57041,-3431,-5.67370022,55504,-1537,-2.69455304,54529,-975,-1.75663015,53386,-1143,-2.09613233
